# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000036 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000215 	            0.0000179 	        27892.9489345 
3 	      1.000 	            0.0000393 	            0.0000178 	        27955.2472415 
4 	      1.500 	            0.0000573 	            0.0000179 	        27922.5829964 
5 	      2.000 	            0.0000752 	            0.0000179 	        27925.7359020 
6 	      2.500 	            0.0000931 	            0.0000179 	        27924.6657881 
7 	      3.000 	            0.0001110 	            0.0000179 	        27930.4116863 
8 	      3.500 	            0.0001289 	            0.0000179 	        27925.3419436 
9 	      4.000 	            0.0001468 	            0.0000179 	        27925.4891978 
10 	      4.500 	            0.0001647 	            0.0000179 	        27927.4688505 
11 	      5.000 	            0.0001826 	            0.0000179 	        27925.9016801 
12 	      5.500 	            0.0002005 	            0.0000179 	        27924.8180613 
13 	      6.000 	            0.0002184 	            0.0000179 	        27930.6653009 
14 	      6.500 	            0.0002363 	            0.0000179 	        27929.1526222 
15 	      7.000 	            0.0002542 	            0.0000179 	        27927.8805649 
16 	      7.500 	            0.0002721 	            0.0000179 	        27925.0227314 
17 	      8.000 	            0.0002900 	            0.0000179 	        27924.9697404 
18 	      8.500 	            0.0003079 	            0.0000179 	        27927.0342576 
19 	      9.000 	            0.0003258 	            0.0000179 	        27926.4408545 
20 	      9.500 	            0.0003438 	            0.0000179 	        27925.4453495 
21 	     10.000 	            0.0003616 	            0.0000179 	        27928.5193799 
22 	     10.500 	            0.0003796 	            0.0000179 	        27925.2702896 
23 	     11.000 	            0.0003975 	            0.0000179 	        27925.6866557 
24 	     11.500 	            0.0004154 	            0.0000179 	        27924.6322415 
25 	     12.000 	            0.0004333 	            0.0000179 	        27926.9570962 
26 	     12.500 	            0.0004512 	            0.0000179 	        27925.8225636 
27 	     13.000 	            0.0004691 	            0.0000179 	        27925.3535368 
28 	     13.500 	            0.0004870 	            0.0000179 	        27924.7651523 
29 	     14.000 	            0.0005049 	            0.0000179 	        27926.9707134 
30 	     14.500 	            0.0005228 	            0.0000179 	        27925.3337765 
31 	     15.000 	            0.0005407 	            0.0000179 	        27925.6308666 
32 	     15.500 	            0.0005586 	            0.0000179 	        27926.4190607 
33 	     16.000 	            0.0005765 	            0.0000179 	        27925.7907185 
34 	     16.500 	            0.0005944 	            0.0000179 	        27926.5130760 
35 	     17.000 	            0.0006123 	            0.0000179 	        27926.6434514 
36 	     17.500 	            0.0006302 	            0.0000179 	        27925.8889192 
37 	     18.000 	            0.0006481 	            0.0000179 	        27925.3840277 
38 	     18.500 	            0.0006660 	            0.0000179 	        27925.8251931 
39 	     19.000 	            0.0006840 	            0.0000179 	        27925.1335033 
40 	     19.500 	            0.0007019 	            0.0000179 	        27923.9923313 
41 	     20.000 	            0.0007197 	            0.0000179 	        27926.0780560 
42 	     20.500 	            0.0007377 	            0.0000179 	        27925.2998322 
43 	     21.000 	            0.0007555 	            0.0000179 	        27926.4160564 
44 	     21.500 	            0.0007735 	            0.0000179 	        27924.8770701 
45 	     22.000 	            0.0007914 	            0.0000179 	        27925.8809657 
46 	     22.500 	            0.0008093 	            0.0000179 	        27925.7806883 
47 	     23.000 	            0.0008272 	            0.0000179 	        27925.1611833 
48 	     23.500 	            0.0008451 	            0.0000179 	        27924.2931797 
49 	     24.000 	            0.0008630 	            0.0000179 	        27925.7036837 
50 	     24.500 	            0.0008809 	            0.0000179 	        27924.7678914 
51 	     25.000 	            0.0008988 	            0.0000179 	        27925.4314761 
52 	     25.500 	            0.0009167 	            0.0000179 	        27925.5637773 
53 	     26.000 	            0.0009346 	            0.0000179 	        27924.4391300 
54 	     26.500 	            0.0009525 	            0.0000179 	        27925.0298417 
55 	     27.000 	            0.0009704 	            0.0000179 	        27925.1353706 
56 	     27.500 	            0.0009884 	            0.0000179 	        27924.6302594 
57 	     28.000 	            0.0010062 	            0.0000179 	        27925.0559869 
58 	     28.500 	            0.0010242 	            0.0000179 	        27924.7984961 
59 	     29.000 	            0.0010420 	            0.0000179 	        27925.3861729 
60 	     29.500 	            0.0010600 	            0.0000179 	        27924.2028336 
61 	     30.000 	            0.0010779 	            0.0000179 	        27924.6062524 
62 	     30.500 	            0.0010958 	            0.0000179 	        27924.3572364 
63 	     31.000 	            0.0011137 	            0.0000179 	        27924.5435792 
64 	     31.500 	            0.0011316 	            0.0000179 	        27924.4914170 
65 	     32.000 	            0.0011495 	            0.0000179 	        27925.0581845 
66 	     32.500 	            0.0011674 	            0.0000179 	        27924.8631429 
67 	     33.000 	            0.0011853 	            0.0000179 	        27924.0548017 
68 	     33.500 	            0.0012032 	            0.0000179 	        27924.2952904 
69 	     34.000 	            0.0012211 	            0.0000179 	        27924.6346279 
70 	     34.500 	            0.0012390 	            0.0000179 	        27924.4834873 
71 	     35.000 	            0.0012569 	            0.0000179 	        27925.2280398 
72 	     35.500 	            0.0012749 	            0.0000180 	        27924.0560129 
73 	     36.000 	            0.0012928 	            0.0000179 	        27924.4964878 
74 	     36.500 	            0.0013107 	            0.0000179 	        27923.6570913 
75 	     37.000 	            0.0013286 	            0.0000179 	        27924.6345497 
76 	     37.500 	            0.0013465 	            0.0000179 	        27923.8502255 
77 	     38.000 	            0.0013644 	            0.0000179 	        27924.4754636 
78 	     38.500 	            0.0013823 	            0.0000179 	        27924.3812791 
79 	     39.000 	            0.0014002 	            0.0000179 	        27924.7126879 
80 	     39.500 	            0.0014181 	            0.0000179 	        27924.5101473 
81 	     40.000 	            0.0014360 	            0.0000179 	        27924.4093333 
82 	     40.500 	            0.0014539 	            0.0000179 	        27924.5565304 
83 	     41.000 	            0.0014718 	            0.0000179 	        27925.1448700 
84 	     41.500 	            0.0014898 	            0.0000180 	        27923.5535937 
85 	     42.000 	            0.0015076 	            0.0000179 	        27924.2914919 
86 	     42.500 	            0.0015256 	            0.0000179 	        27923.8722929 
87 	     43.000 	            0.0015434 	            0.0000179 	        27924.2138539 
88 	     43.500 	            0.0015614 	            0.0000179 	        27923.9838453 
89 	     44.000 	            0.0015793 	            0.0000179 	        27923.9068618 
90 	     44.500 	            0.0015972 	            0.0000179 	        27923.9200684 
91 	     45.000 	            0.0016150 	            0.0000179 	        27924.7955253 
92 	     45.500 	            0.0016330 	            0.0000180 	        27923.8634079 
93 	     46.000 	            0.0016509 	            0.0000179 	        27923.8262081 
94 	     46.500 	            0.0016688 	            0.0000179 	        27924.1645547 
95 	     47.000 	            0.0016867 	            0.0000179 	        27924.2125495 
96 	     47.500 	            0.0017046 	            0.0000179 	        27924.5433093 
97 	     48.000 	            0.0017225 	            0.0000179 	        27924.5253831 
98 	     48.500 	            0.0017404 	            0.0000179 	        27924.2753931 
99 	     49.000 	            0.0017583 	            0.0000179 	        27924.1366868 
100 	     49.500 	            0.0017762 	            0.0000179 	        27924.0963522 
101 	     50.000 	            0.0017941 	            0.0000179 	        27924.0503870 
102 	     50.500 	            0.0018120 	            0.0000179 	        27923.9745490 
103 	     51.000 	            0.0018299 	            0.0000179 	        27924.1825640 
104 	     51.500 	            0.0018478 	            0.0000179 	        27924.5757973 
105 	     52.000 	            0.0018658 	            0.0000179 	        27924.1900867 
106 	     52.500 	            0.0018837 	            0.0000179 	        27924.1231365 
107 	     53.000 	            0.0019015 	            0.0000179 	        27924.5176959 
108 	     53.500 	            0.0019195 	            0.0000179 	        27924.0469564 
109 	     54.000 	            0.0019374 	            0.0000179 	        27924.4678652 
110 	     54.500 	            0.0019553 	            0.0000179 	        27923.8589020 
111 	     55.000 	            0.0019732 	            0.0000179 	        27924.5277478 
