# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000104 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000283 	            0.0000179 	        27919.0958034 
3 	      1.000 	            0.0000462 	            0.0000179 	        27921.6283536 
4 	      1.500 	            0.0000641 	            0.0000179 	        27923.1753068 
5 	      2.000 	            0.0000820 	            0.0000179 	        27925.0785931 
6 	      2.500 	            0.0000999 	            0.0000179 	        27932.7485372 
7 	      3.000 	            0.0001178 	            0.0000179 	        27926.7262428 
8 	      3.500 	            0.0001357 	            0.0000179 	        27932.4932191 
9 	      4.000 	            0.0001536 	            0.0000179 	        27928.4438180 
10 	      4.500 	            0.0001715 	            0.0000179 	        27932.6360177 
11 	      5.000 	            0.0001895 	            0.0000179 	        27926.4001013 
12 	      5.500 	            0.0002074 	            0.0000179 	        27928.3931860 
13 	      6.000 	            0.0002253 	            0.0000179 	        27925.5552640 
14 	      6.500 	            0.0002432 	            0.0000179 	        27928.3883592 
15 	      7.000 	            0.0002611 	            0.0000179 	        27926.6744146 
16 	      7.500 	            0.0002790 	            0.0000179 	        27926.0746740 
17 	      8.000 	            0.0002969 	            0.0000179 	        27925.7606474 
18 	      8.500 	            0.0003148 	            0.0000179 	        27926.6879028 
19 	      9.000 	            0.0003327 	            0.0000179 	        27925.6152330 
20 	      9.500 	            0.0003506 	            0.0000179 	        27927.1987898 
21 	     10.000 	            0.0003685 	            0.0000179 	        27925.8652376 
22 	     10.500 	            0.0003864 	            0.0000179 	        27926.1525164 
23 	     11.000 	            0.0004043 	            0.0000179 	        27925.2827194 
24 	     11.500 	            0.0004222 	            0.0000179 	        27927.0398157 
25 	     12.000 	            0.0004401 	            0.0000179 	        27926.2623077 
26 	     12.500 	            0.0004580 	            0.0000179 	        27926.1465412 
27 	     13.000 	            0.0004759 	            0.0000179 	        27925.6735714 
28 	     13.500 	            0.0004938 	            0.0000179 	        27926.4519242 
29 	     14.000 	            0.0005117 	            0.0000179 	        27926.8083722 
30 	     14.500 	            0.0005297 	            0.0000179 	        27926.0408616 
31 	     15.000 	            0.0005476 	            0.0000179 	        27925.9559886 
32 	     15.500 	            0.0005655 	            0.0000179 	        27925.8464143 
33 	     16.000 	            0.0005834 	            0.0000179 	        27925.6327610 
34 	     16.500 	            0.0006013 	            0.0000179 	        27925.8840817 
35 	     17.000 	            0.0006192 	            0.0000179 	        27925.6232504 
36 	     17.500 	            0.0006371 	            0.0000179 	        27926.4072434 
37 	     18.000 	            0.0006550 	            0.0000179 	        27925.8503948 
38 	     18.500 	            0.0006729 	            0.0000179 	        27925.7660985 
39 	     19.000 	            0.0006908 	            0.0000179 	        27925.2394120 
40 	     19.500 	            0.0007087 	            0.0000179 	        27925.1421157 
41 	     20.000 	            0.0007266 	            0.0000179 	        27924.1242257 
42 	     20.500 	            0.0007445 	            0.0000179 	        27925.5516450 
43 	     21.000 	            0.0007624 	            0.0000179 	        27925.7247935 
44 	     21.500 	            0.0007803 	            0.0000179 	        27925.9889032 
45 	     22.000 	            0.0007982 	            0.0000179 	        27925.4698066 
46 	     22.500 	            0.0008161 	            0.0000179 	        27925.4496916 
47 	     23.000 	            0.0008340 	            0.0000179 	        27925.2986979 
48 	     23.500 	            0.0008520 	            0.0000179 	        27925.2209650 
49 	     24.000 	            0.0008699 	            0.0000179 	        27924.9696172 
50 	     24.500 	            0.0008878 	            0.0000179 	        27925.3801273 
51 	     25.000 	            0.0009057 	            0.0000179 	        27924.6550310 
52 	     25.500 	            0.0009236 	            0.0000179 	        27925.4402504 
53 	     26.000 	            0.0009415 	            0.0000179 	        27924.9343014 
54 	     26.500 	            0.0009594 	            0.0000179 	        27925.3005908 
55 	     27.000 	            0.0009773 	            0.0000179 	        27924.1502114 
56 	     27.500 	            0.0009952 	            0.0000178 	        27925.8382470 
57 	     28.000 	            0.0010131 	            0.0000179 	        27924.6213132 
58 	     28.500 	            0.0010310 	            0.0000179 	        27925.2715379 
59 	     29.000 	            0.0010489 	            0.0000179 	        27924.9738697 
60 	     29.500 	            0.0010668 	            0.0000179 	        27925.0886921 
61 	     30.000 	            0.0010847 	            0.0000179 	        27925.0871395 
62 	     30.500 	            0.0011026 	            0.0000179 	        27925.3958581 
63 	     31.000 	            0.0011205 	            0.0000179 	        27925.2462460 
64 	     31.500 	            0.0011384 	            0.0000179 	        27925.1441401 
65 	     32.000 	            0.0011564 	            0.0000179 	        27924.5349471 
66 	     32.500 	            0.0011742 	            0.0000179 	        27925.1379012 
