# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000183 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000362 	            0.0000179 	        27913.2708167 
3 	      1.000 	            0.0000541 	            0.0000179 	        27918.6347109 
4 	      1.500 	            0.0000720 	            0.0000179 	        27909.5287885 
5 	      2.000 	            0.0000899 	            0.0000179 	        27927.8685965 
6 	      2.500 	            0.0001078 	            0.0000179 	        27918.5193994 
7 	      3.000 	            0.0001257 	            0.0000179 	        27925.3886081 
8 	      3.500 	            0.0001436 	            0.0000179 	        27920.6343766 
9 	      4.000 	            0.0001615 	            0.0000179 	        27922.8573885 
10 	      4.500 	            0.0001794 	            0.0000179 	        27921.0070596 
11 	      5.000 	            0.0001973 	            0.0000179 	        27926.5387324 
12 	      5.500 	            0.0002152 	            0.0000179 	        27921.1434831 
13 	      6.000 	            0.0002331 	            0.0000179 	        27925.6827040 
14 	      6.500 	            0.0002510 	            0.0000179 	        27923.0291752 
15 	      7.000 	            0.0002689 	            0.0000179 	        27925.0703027 
16 	      7.500 	            0.0002868 	            0.0000179 	        27925.3619502 
17 	      8.000 	            0.0003047 	            0.0000179 	        27925.2790406 
18 	      8.500 	            0.0003226 	            0.0000179 	        27924.7568631 
19 	      9.000 	            0.0003406 	            0.0000179 	        27925.0082958 
20 	      9.500 	            0.0003585 	            0.0000179 	        27924.4090370 
21 	     10.000 	            0.0003764 	            0.0000179 	        27924.4664250 
22 	     10.500 	            0.0003943 	            0.0000179 	        27925.6282125 
23 	     11.000 	            0.0004122 	            0.0000179 	        27925.0919631 
24 	     11.500 	            0.0004301 	            0.0000179 	        27925.8309502 
25 	     12.000 	            0.0004480 	            0.0000179 	        27925.4009570 
26 	     12.500 	            0.0004659 	            0.0000179 	        27924.0782673 
27 	     13.000 	            0.0004838 	            0.0000179 	        27925.3810304 
28 	     13.500 	            0.0005017 	            0.0000179 	        27924.4099157 
29 	     14.000 	            0.0005196 	            0.0000179 	        27925.3674742 
30 	     14.500 	            0.0005375 	            0.0000179 	        27925.0285028 
31 	     15.000 	            0.0005554 	            0.0000179 	        27924.5180510 
32 	     15.500 	            0.0005733 	            0.0000179 	        27924.1383566 
33 	     16.000 	            0.0005912 	            0.0000179 	        27925.2683926 
34 	     16.500 	            0.0006091 	            0.0000179 	        27924.3951139 
35 	     17.000 	            0.0006270 	            0.0000179 	        27925.4658605 
36 	     17.500 	            0.0006450 	            0.0000179 	        27924.3610294 
37 	     18.000 	            0.0006628 	            0.0000179 	        27925.2346830 
38 	     18.500 	            0.0006807 	            0.0000179 	        27925.2223176 
39 	     19.000 	            0.0006987 	            0.0000179 	        27924.4140166 
40 	     19.500 	            0.0007166 	            0.0000179 	        27923.3787579 
41 	     20.000 	            0.0007345 	            0.0000179 	        27924.8898585 
42 	     20.500 	            0.0007524 	            0.0000179 	        27924.4199995 
43 	     21.000 	            0.0007703 	            0.0000179 	        27925.0741567 
44 	     21.500 	            0.0007882 	            0.0000179 	        27924.4512079 
45 	     22.000 	            0.0008061 	            0.0000179 	        27924.8036958 
46 	     22.500 	            0.0008240 	            0.0000179 	        27924.3324455 
47 	     23.000 	            0.0008419 	            0.0000179 	        27924.2111170 
48 	     23.500 	            0.0008598 	            0.0000179 	        27924.2842384 
49 	     24.000 	            0.0008777 	            0.0000179 	        27924.1856420 
50 	     24.500 	            0.0008956 	            0.0000179 	        27924.9105597 
51 	     25.000 	            0.0009135 	            0.0000179 	        27924.9030686 
52 	     25.500 	            0.0009314 	            0.0000179 	        27924.7414661 
53 	     26.000 	            0.0009493 	            0.0000179 	        27924.4000874 
54 	     26.500 	            0.0009673 	            0.0000179 	        27923.9977087 
55 	     27.000 	            0.0009852 	            0.0000179 	        27924.4263901 
56 	     27.500 	            0.0010030 	            0.0000179 	        27924.8331202 
57 	     28.000 	            0.0010210 	            0.0000179 	        27924.5367693 
58 	     28.500 	            0.0010389 	            0.0000179 	        27924.7924953 
59 	     29.000 	            0.0010568 	            0.0000179 	        27924.3265941 
60 	     29.500 	            0.0010747 	            0.0000179 	        27924.6418680 
61 	     30.000 	            0.0010926 	            0.0000179 	        27924.2604685 
62 	     30.500 	            0.0011105 	            0.0000179 	        27924.0061515 
63 	     31.000 	            0.0011284 	            0.0000179 	        27924.2913030 
64 	     31.500 	            0.0011463 	            0.0000179 	        27924.3444894 
65 	     32.000 	            0.0011642 	            0.0000179 	        27924.3746686 
66 	     32.500 	            0.0011821 	            0.0000179 	        27923.6500812 
67 	     33.000 	            0.0012000 	            0.0000179 	        27924.4650765 
68 	     33.500 	            0.0012179 	            0.0000179 	        27924.4556220 
69 	     34.000 	            0.0012358 	            0.0000179 	        27924.2174705 
70 	     34.500 	            0.0012538 	            0.0000179 	        27923.9926981 
71 	     35.000 	            0.0012716 	            0.0000179 	        27924.2965190 
72 	     35.500 	            0.0012896 	            0.0000179 	        27924.1617471 
73 	     36.000 	            0.0013074 	            0.0000179 	        27924.5870234 
74 	     36.500 	            0.0013254 	            0.0000179 	        27923.8584126 
75 	     37.000 	            0.0013433 	            0.0000179 	        27923.7723745 
76 	     37.500 	            0.0013612 	            0.0000179 	        27923.8550242 
77 	     38.000 	            0.0013791 	            0.0000179 	        27924.0813731 
78 	     38.500 	            0.0013970 	            0.0000179 	        27923.7077935 
79 	     39.000 	            0.0014149 	            0.0000179 	        27924.2687742 
80 	     39.500 	            0.0014328 	            0.0000179 	        27923.8683976 
81 	     40.000 	            0.0014507 	            0.0000179 	        27923.6744750 
82 	     40.500 	            0.0014686 	            0.0000179 	        27923.9931344 
83 	     41.000 	            0.0014865 	            0.0000179 	        27923.6475937 
84 	     41.500 	            0.0015044 	            0.0000179 	        27923.8716080 
85 	     42.000 	            0.0015223 	            0.0000179 	        27923.9009154 
86 	     42.500 	            0.0015402 	            0.0000179 	        27924.0813234 
87 	     43.000 	            0.0015581 	            0.0000179 	        27924.1324468 
88 	     43.500 	            0.0015761 	            0.0000179 	        27923.7900009 
89 	     44.000 	            0.0015940 	            0.0000179 	        27923.9508378 
90 	     44.500 	            0.0016119 	            0.0000179 	        27924.0084093 
91 	     45.000 	            0.0016298 	            0.0000179 	        27924.0858544 
92 	     45.500 	            0.0016477 	            0.0000179 	        27923.9255660 
93 	     46.000 	            0.0016656 	            0.0000179 	        27923.9746729 
94 	     46.500 	            0.0016835 	            0.0000179 	        27923.8132489 
95 	     47.000 	            0.0017014 	            0.0000179 	        27923.9488705 
96 	     47.500 	            0.0017193 	            0.0000179 	        27923.6779865 
97 	     48.000 	            0.0017372 	            0.0000179 	        27923.8382808 
98 	     48.500 	            0.0017551 	            0.0000179 	        27923.9099641 
99 	     49.000 	            0.0017730 	            0.0000179 	        27924.1590231 
100 	     49.500 	            0.0017909 	            0.0000179 	        27923.7098699 
101 	     50.000 	            0.0018088 	            0.0000179 	        27923.8830119 
102 	     50.500 	            0.0018268 	            0.0000179 	        27923.7015638 
103 	     51.000 	            0.0018447 	            0.0000179 	        27923.8908405 
104 	     51.500 	            0.0018626 	            0.0000179 	        27923.9980699 
105 	     52.000 	            0.0018804 	            0.0000179 	        27924.1814931 
106 	     52.500 	            0.0018984 	            0.0000179 	        27923.8097906 
