# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000053 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000232 	            0.0000179 	        27881.3857800 
3 	      1.000 	            0.0000411 	            0.0000179 	        27924.7280562 
4 	      1.500 	            0.0000590 	            0.0000179 	        27921.7612908 
5 	      2.000 	            0.0000769 	            0.0000179 	        27927.6337469 
6 	      2.500 	            0.0000949 	            0.0000179 	        27915.3920479 
7 	      3.000 	            0.0001127 	            0.0000179 	        27927.0425709 
8 	      3.500 	            0.0001307 	            0.0000179 	        27917.1530015 
9 	      4.000 	            0.0001485 	            0.0000179 	        27926.2071133 
10 	      4.500 	            0.0001664 	            0.0000179 	        27928.2941139 
11 	      5.000 	            0.0001843 	            0.0000179 	        27929.8412473 
12 	      5.500 	            0.0002023 	            0.0000180 	        27920.6735453 
13 	      6.000 	            0.0002202 	            0.0000179 	        27923.9844481 
14 	      6.500 	            0.0002381 	            0.0000179 	        27922.4837967 
15 	      7.000 	            0.0002560 	            0.0000179 	        27924.1174927 
16 	      7.500 	            0.0002739 	            0.0000179 	        27919.8602846 
17 	      8.000 	            0.0002918 	            0.0000178 	        27925.7147831 
18 	      8.500 	            0.0003097 	            0.0000179 	        27924.5841956 
19 	      9.000 	            0.0003276 	            0.0000179 	        27925.1656741 
20 	      9.500 	            0.0003455 	            0.0000179 	        27925.7679213 
21 	     10.000 	            0.0003634 	            0.0000179 	        27923.3824065 
22 	     10.500 	            0.0003813 	            0.0000179 	        27924.0641127 
23 	     11.000 	            0.0003992 	            0.0000179 	        27925.9719351 
24 	     11.500 	            0.0004172 	            0.0000180 	        27922.4853774 
25 	     12.000 	            0.0004350 	            0.0000179 	        27925.6527196 
26 	     12.500 	            0.0004529 	            0.0000179 	        27924.4132215 
27 	     13.000 	            0.0004708 	            0.0000179 	        27926.6080159 
28 	     13.500 	            0.0004887 	            0.0000179 	        27924.5951232 
29 	     14.000 	            0.0005066 	            0.0000179 	        27925.2060395 
30 	     14.500 	            0.0005246 	            0.0000179 	        27923.8704464 
31 	     15.000 	            0.0005424 	            0.0000179 	        27925.4712153 
32 	     15.500 	            0.0005604 	            0.0000179 	        27924.8789365 
33 	     16.000 	            0.0005783 	            0.0000179 	        27924.5620731 
34 	     16.500 	            0.0005962 	            0.0000179 	        27924.1362462 
35 	     17.000 	            0.0006141 	            0.0000179 	        27923.9612298 
36 	     17.500 	            0.0006320 	            0.0000179 	        27923.9173150 
37 	     18.000 	            0.0006499 	            0.0000179 	        27924.1078516 
38 	     18.500 	            0.0006678 	            0.0000179 	        27923.4442973 
39 	     19.000 	            0.0006857 	            0.0000179 	        27925.4418665 
40 	     19.500 	            0.0007036 	            0.0000180 	        27923.4527432 
41 	     20.000 	            0.0007215 	            0.0000178 	        27925.8971082 
42 	     20.500 	            0.0007394 	            0.0000179 	        27924.4750689 
43 	     21.000 	            0.0007573 	            0.0000179 	        27923.9137027 
44 	     21.500 	            0.0007752 	            0.0000179 	        27923.9192561 
45 	     22.000 	            0.0007931 	            0.0000179 	        27924.4388793 
46 	     22.500 	            0.0008110 	            0.0000179 	        27924.4430666 
47 	     23.000 	            0.0008289 	            0.0000179 	        27925.2704899 
48 	     23.500 	            0.0008469 	            0.0000180 	        27923.6600128 
49 	     24.000 	            0.0008648 	            0.0000179 	        27923.8657869 
50 	     24.500 	            0.0008827 	            0.0000179 	        27924.3398894 
51 	     25.000 	            0.0009006 	            0.0000179 	        27924.4952515 
52 	     25.500 	            0.0009185 	            0.0000180 	        27923.0819598 
53 	     26.000 	            0.0009364 	            0.0000179 	        27924.0353721 
54 	     26.500 	            0.0009543 	            0.0000179 	        27923.6969920 
55 	     27.000 	            0.0009722 	            0.0000179 	        27923.6389463 
56 	     27.500 	            0.0009901 	            0.0000179 	        27924.3036441 
57 	     28.000 	            0.0010081 	            0.0000179 	        27923.1063167 
58 	     28.500 	            0.0010259 	            0.0000179 	        27924.0622623 
59 	     29.000 	            0.0010438 	            0.0000179 	        27924.0335775 
60 	     29.500 	            0.0010617 	            0.0000179 	        27924.3084613 
61 	     30.000 	            0.0010796 	            0.0000179 	        27923.9227785 
62 	     30.500 	            0.0010976 	            0.0000179 	        27923.5835898 
63 	     31.000 	            0.0011155 	            0.0000179 	        27924.0143128 
64 	     31.500 	            0.0011334 	            0.0000179 	        27923.9491861 
65 	     32.000 	            0.0011512 	            0.0000179 	        27924.5077357 
66 	     32.500 	            0.0011692 	            0.0000179 	        27923.4665874 
67 	     33.000 	            0.0011871 	            0.0000179 	        27924.4687836 
68 	     33.500 	            0.0012050 	            0.0000179 	        27923.7726121 
69 	     34.000 	            0.0012229 	            0.0000179 	        27923.5815371 
70 	     34.500 	            0.0012408 	            0.0000179 	        27924.1725195 
71 	     35.000 	            0.0012587 	            0.0000179 	        27923.9990797 
72 	     35.500 	            0.0012766 	            0.0000179 	        27923.9294473 
73 	     36.000 	            0.0012945 	            0.0000179 	        27924.4502624 
74 	     36.500 	            0.0013124 	            0.0000179 	        27923.7320354 
75 	     37.000 	            0.0013303 	            0.0000179 	        27924.0380017 
76 	     37.500 	            0.0013482 	            0.0000179 	        27924.1919300 
77 	     38.000 	            0.0013661 	            0.0000179 	        27924.2569758 
78 	     38.500 	            0.0013841 	            0.0000179 	        27923.3615952 
79 	     39.000 	            0.0014019 	            0.0000179 	        27924.2732902 
80 	     39.500 	            0.0014199 	            0.0000179 	        27923.9781996 
81 	     40.000 	            0.0014378 	            0.0000179 	        27923.9008532 
82 	     40.500 	            0.0014557 	            0.0000179 	        27923.5907589 
83 	     41.000 	            0.0014736 	            0.0000179 	        27923.9780924 
84 	     41.500 	            0.0014915 	            0.0000179 	        27924.0171982 
85 	     42.000 	            0.0015094 	            0.0000179 	        27923.4271597 
86 	     42.500 	            0.0015273 	            0.0000179 	        27924.0166848 
87 	     43.000 	            0.0015452 	            0.0000179 	        27923.9340131 
88 	     43.500 	            0.0015631 	            0.0000179 	        27923.5732204 
89 	     44.000 	            0.0015810 	            0.0000179 	        27923.9123826 
90 	     44.500 	            0.0015989 	            0.0000179 	        27923.3462332 
91 	     45.000 	            0.0016168 	            0.0000179 	        27923.6709682 
92 	     45.500 	            0.0016347 	            0.0000179 	        27924.0763211 
93 	     46.000 	            0.0016526 	            0.0000179 	        27924.4304324 
94 	     46.500 	            0.0016705 	            0.0000179 	        27923.8482199 
95 	     47.000 	            0.0016885 	            0.0000179 	        27923.6688270 
96 	     47.500 	            0.0017064 	            0.0000179 	        27923.6078781 
97 	     48.000 	            0.0017243 	            0.0000179 	        27924.0048235 
98 	     48.500 	            0.0017422 	            0.0000179 	        27923.7381661 
99 	     49.000 	            0.0017601 	            0.0000179 	        27923.6459782 
100 	     49.500 	            0.0017780 	            0.0000179 	        27924.0221414 
101 	     50.000 	            0.0017959 	            0.0000179 	        27923.5550238 
102 	     50.500 	            0.0018138 	            0.0000179 	        27923.6233131 
103 	     51.000 	            0.0018317 	            0.0000179 	        27924.1738166 
104 	     51.500 	            0.0018496 	            0.0000179 	        27924.1810380 
105 	     52.000 	            0.0018675 	            0.0000179 	        27923.7968295 
106 	     52.500 	            0.0018854 	            0.0000179 	        27923.9576897 
107 	     53.000 	            0.0019033 	            0.0000179 	        27924.0946502 
108 	     53.500 	            0.0019213 	            0.0000180 	        27923.4070431 
109 	     54.000 	            0.0019391 	            0.0000179 	        27923.8465325 
110 	     54.500 	            0.0019571 	            0.0000179 	        27923.2875408 
111 	     55.000 	            0.0019750 	            0.0000179 	        27923.7117526 
112 	     55.500 	            0.0019929 	            0.0000179 	        27923.3486646 
113 	     56.000 	            0.0020107 	            0.0000179 	        27923.9045186 
114 	     56.500 	            0.0020287 	            0.0000179 	        27923.9372554 
115 	     57.000 	            0.0020466 	            0.0000179 	        27923.9186514 
116 	     57.500 	            0.0020645 	            0.0000179 	        27923.4308098 
117 	     58.000 	            0.0020824 	            0.0000179 	        27923.9067954 
118 	     58.500 	            0.0021003 	            0.0000179 	        27923.4341668 
119 	     59.000 	            0.0021182 	            0.0000179 	        27924.0900846 
120 	     59.500 	            0.0021361 	            0.0000180 	        27923.4763206 
121 	     60.000 	            0.0021540 	            0.0000179 	        27924.1727034 
122 	     60.500 	            0.0021719 	            0.0000179 	        27924.0211821 
123 	     61.000 	            0.0021898 	            0.0000179 	        27923.9032546 
124 	     61.500 	            0.0022077 	            0.0000179 	        27924.0387616 
125 	     62.000 	            0.0022256 	            0.0000179 	        27924.1297290 
126 	     62.500 	            0.0022436 	            0.0000180 	        27923.5436336 
127 	     63.000 	            0.0022615 	            0.0000179 	        27923.3861648 
128 	     63.500 	            0.0022793 	            0.0000179 	        27923.8848290 
129 	     64.000 	            0.0022973 	            0.0000179 	        27923.6133647 
130 	     64.500 	            0.0023151 	            0.0000179 	        27924.1751782 
131 	     65.000 	            0.0023331 	            0.0000180 	        27923.3893715 
132 	     65.500 	            0.0023510 	            0.0000179 	        27923.8263843 
133 	     66.000 	            0.0023689 	            0.0000179 	        27923.7839865 
134 	     66.500 	            0.0023867 	            0.0000179 	        27924.3011740 
135 	     67.000 	            0.0024047 	            0.0000179 	        27923.8306127 
136 	     67.500 	            0.0024226 	            0.0000179 	        27923.9526866 
137 	     68.000 	            0.0024405 	            0.0000179 	        27923.9044713 
138 	     68.500 	            0.0024584 	            0.0000179 	        27923.7231548 
139 	     69.000 	            0.0024763 	            0.0000179 	        27923.8171936 
140 	     69.500 	            0.0024942 	            0.0000179 	        27924.0762854 
141 	     70.000 	            0.0025121 	            0.0000179 	        27924.2495897 
142 	     70.500 	            0.0025300 	            0.0000179 	        27923.9419882 
143 	     71.000 	            0.0025479 	            0.0000178 	        27924.6050302 
144 	     71.500 	            0.0025659 	            0.0000180 	        27923.6175081 
