# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000057 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000236 	            0.0000179 	        27875.3688569 
3 	      1.000 	            0.0000415 	            0.0000179 	        27899.6071274 
4 	      1.500 	            0.0000594 	            0.0000179 	        27918.0699100 
5 	      2.000 	            0.0000773 	            0.0000179 	        27913.8849708 
6 	      2.500 	            0.0000952 	            0.0000179 	        27915.8313930 
7 	      3.000 	            0.0001131 	            0.0000179 	        27922.5750809 
8 	      3.500 	            0.0001310 	            0.0000179 	        27918.6768917 
9 	      4.000 	            0.0001489 	            0.0000179 	        27919.8270609 
10 	      4.500 	            0.0001668 	            0.0000179 	        27923.2267578 
11 	      5.000 	            0.0001847 	            0.0000179 	        27924.8563366 
12 	      5.500 	            0.0002027 	            0.0000179 	        27921.3741538 
13 	      6.000 	            0.0002206 	            0.0000179 	        27923.6410279 
14 	      6.500 	            0.0002385 	            0.0000179 	        27923.0127552 
15 	      7.000 	            0.0002564 	            0.0000179 	        27924.9670865 
16 	      7.500 	            0.0002743 	            0.0000179 	        27923.4844182 
17 	      8.000 	            0.0002922 	            0.0000179 	        27926.2266106 
18 	      8.500 	            0.0003101 	            0.0000179 	        27924.0517499 
19 	      9.000 	            0.0003280 	            0.0000179 	        27924.7096246 
20 	      9.500 	            0.0003459 	            0.0000179 	        27923.5794983 
21 	     10.000 	            0.0003638 	            0.0000179 	        27924.1628002 
22 	     10.500 	            0.0003817 	            0.0000179 	        27924.3273000 
23 	     11.000 	            0.0003996 	            0.0000179 	        27923.7386209 
24 	     11.500 	            0.0004175 	            0.0000179 	        27923.1105260 
25 	     12.000 	            0.0004354 	            0.0000179 	        27924.5086572 
26 	     12.500 	            0.0004533 	            0.0000179 	        27924.7060722 
27 	     13.000 	            0.0004712 	            0.0000179 	        27924.4477945 
28 	     13.500 	            0.0004891 	            0.0000179 	        27923.7603806 
29 	     14.000 	            0.0005070 	            0.0000179 	        27925.1936530 
30 	     14.500 	            0.0005250 	            0.0000179 	        27923.7120096 
31 	     15.000 	            0.0005428 	            0.0000179 	        27924.7260052 
32 	     15.500 	            0.0005608 	            0.0000179 	        27924.2977830 
33 	     16.000 	            0.0005787 	            0.0000179 	        27924.6274483 
34 	     16.500 	            0.0005966 	            0.0000179 	        27923.8800727 
35 	     17.000 	            0.0006145 	            0.0000179 	        27925.0562320 
36 	     17.500 	            0.0006324 	            0.0000179 	        27923.9742498 
37 	     18.000 	            0.0006503 	            0.0000179 	        27924.8148326 
38 	     18.500 	            0.0006682 	            0.0000179 	        27924.8298951 
39 	     19.000 	            0.0006861 	            0.0000179 	        27924.4370177 
40 	     19.500 	            0.0007040 	            0.0000179 	        27923.8148000 
41 	     20.000 	            0.0007219 	            0.0000179 	        27925.5302367 
42 	     20.500 	            0.0007398 	            0.0000179 	        27924.2204655 
43 	     21.000 	            0.0007577 	            0.0000179 	        27924.8730792 
44 	     21.500 	            0.0007756 	            0.0000179 	        27924.0694499 
45 	     22.000 	            0.0007935 	            0.0000179 	        27924.9966604 
46 	     22.500 	            0.0008114 	            0.0000179 	        27924.3839773 
47 	     23.000 	            0.0008293 	            0.0000179 	        27924.3314036 
48 	     23.500 	            0.0008472 	            0.0000179 	        27924.3506375 
49 	     24.000 	            0.0008652 	            0.0000179 	        27924.2204555 
50 	     24.500 	            0.0008831 	            0.0000179 	        27923.9578976 
51 	     25.000 	            0.0009010 	            0.0000179 	        27924.4729905 
52 	     25.500 	            0.0009189 	            0.0000179 	        27923.6824084 
53 	     26.000 	            0.0009368 	            0.0000179 	        27924.0691260 
54 	     26.500 	            0.0009547 	            0.0000179 	        27924.0842623 
55 	     27.000 	            0.0009726 	            0.0000179 	        27924.1754749 
56 	     27.500 	            0.0009905 	            0.0000179 	        27923.7885419 
57 	     28.000 	            0.0010084 	            0.0000179 	        27924.0954059 
58 	     28.500 	            0.0010263 	            0.0000179 	        27923.8322393 
59 	     29.000 	            0.0010442 	            0.0000179 	        27924.1971661 
60 	     29.500 	            0.0010621 	            0.0000179 	        27923.8648077 
61 	     30.000 	            0.0010800 	            0.0000179 	        27924.3547312 
62 	     30.500 	            0.0010979 	            0.0000179 	        27924.2279287 
63 	     31.000 	            0.0011158 	            0.0000179 	        27924.1493779 
64 	     31.500 	            0.0011338 	            0.0000179 	        27923.7678860 
65 	     32.000 	            0.0011517 	            0.0000179 	        27923.6572229 
66 	     32.500 	            0.0011695 	            0.0000179 	        27924.4406165 
67 	     33.000 	            0.0011875 	            0.0000179 	        27923.8485758 
68 	     33.500 	            0.0012054 	            0.0000179 	        27923.8433071 
69 	     34.000 	            0.0012233 	            0.0000179 	        27923.8390248 
70 	     34.500 	            0.0012412 	            0.0000179 	        27924.0242492 
71 	     35.000 	            0.0012591 	            0.0000179 	        27924.1894904 
72 	     35.500 	            0.0012770 	            0.0000179 	        27923.8533059 
73 	     36.000 	            0.0012949 	            0.0000179 	        27923.3943693 
74 	     36.500 	            0.0013128 	            0.0000179 	        27923.8324506 
75 	     37.000 	            0.0013307 	            0.0000179 	        27923.7587543 
76 	     37.500 	            0.0013486 	            0.0000179 	        27923.6048844 
77 	     38.000 	            0.0013665 	            0.0000179 	        27923.7221201 
78 	     38.500 	            0.0013845 	            0.0000179 	        27923.3867199 
79 	     39.000 	            0.0014023 	            0.0000179 	        27923.9236265 
80 	     39.500 	            0.0014203 	            0.0000180 	        27923.0481679 
81 	     40.000 	            0.0014381 	            0.0000179 	        27923.9255208 
82 	     40.500 	            0.0014561 	            0.0000179 	        27923.6998713 
83 	     41.000 	            0.0014740 	            0.0000179 	        27923.6347622 
84 	     41.500 	            0.0014919 	            0.0000179 	        27923.7027303 
85 	     42.000 	            0.0015098 	            0.0000179 	        27923.6288904 
86 	     42.500 	            0.0015277 	            0.0000179 	        27923.6627435 
87 	     43.000 	            0.0015456 	            0.0000179 	        27923.9900399 
88 	     43.500 	            0.0015635 	            0.0000179 	        27923.5895463 
89 	     44.000 	            0.0015814 	            0.0000179 	        27923.7480621 
90 	     44.500 	            0.0015993 	            0.0000179 	        27923.5541834 
91 	     45.000 	            0.0016172 	            0.0000179 	        27923.6886091 
92 	     45.500 	            0.0016351 	            0.0000179 	        27923.9110673 
93 	     46.000 	            0.0016530 	            0.0000179 	        27923.7983365 
94 	     46.500 	            0.0016709 	            0.0000179 	        27923.6708879 
95 	     47.000 	            0.0016888 	            0.0000179 	        27923.8227639 
96 	     47.500 	            0.0017067 	            0.0000179 	        27923.7412497 
97 	     48.000 	            0.0017247 	            0.0000179 	        27923.7247945 
98 	     48.500 	            0.0017426 	            0.0000179 	        27923.4946142 
99 	     49.000 	            0.0017605 	            0.0000179 	        27923.9049192 
100 	     49.500 	            0.0017784 	            0.0000179 	        27923.9282759 
101 	     50.000 	            0.0017963 	            0.0000179 	        27923.7137915 
102 	     50.500 	            0.0018142 	            0.0000179 	        27923.5234826 
103 	     51.000 	            0.0018321 	            0.0000179 	        27923.8571411 
104 	     51.500 	            0.0018500 	            0.0000179 	        27923.6765342 
105 	     52.000 	            0.0018679 	            0.0000179 	        27923.4273171 
106 	     52.500 	            0.0018858 	            0.0000179 	        27923.4922691 
107 	     53.000 	            0.0019037 	            0.0000179 	        27923.7945024 
108 	     53.500 	            0.0019216 	            0.0000179 	        27923.8689646 
109 	     54.000 	            0.0019395 	            0.0000179 	        27923.6236423 
110 	     54.500 	            0.0019574 	            0.0000179 	        27923.5718778 
111 	     55.000 	            0.0019753 	            0.0000179 	        27923.7596112 
112 	     55.500 	            0.0019932 	            0.0000179 	        27923.8879719 
113 	     56.000 	            0.0020111 	            0.0000179 	        27923.9345112 
114 	     56.500 	            0.0020291 	            0.0000179 	        27923.7369511 
115 	     57.000 	            0.0020470 	            0.0000179 	        27923.7701187 
116 	     57.500 	            0.0020649 	            0.0000179 	        27923.7458550 
117 	     58.000 	            0.0020828 	            0.0000179 	        27923.6623144 
118 	     58.500 	            0.0021007 	            0.0000179 	        27923.6609074 
119 	     59.000 	            0.0021186 	            0.0000179 	        27923.7710969 
120 	     59.500 	            0.0021365 	            0.0000179 	        27923.6713957 
121 	     60.000 	            0.0021544 	            0.0000179 	        27923.9763783 
122 	     60.500 	            0.0021723 	            0.0000179 	        27924.0093748 
123 	     61.000 	            0.0021902 	            0.0000179 	        27923.8425010 
124 	     61.500 	            0.0022081 	            0.0000179 	        27923.7810466 
125 	     62.000 	            0.0022260 	            0.0000179 	        27923.8110253 
126 	     62.500 	            0.0022439 	            0.0000179 	        27923.7826098 
127 	     63.000 	            0.0022618 	            0.0000179 	        27923.9090059 
128 	     63.500 	            0.0022797 	            0.0000179 	        27923.9862900 
129 	     64.000 	            0.0022976 	            0.0000179 	        27923.7980015 
130 	     64.500 	            0.0023155 	            0.0000179 	        27923.8268896 
131 	     65.000 	            0.0023334 	            0.0000179 	        27923.9919527 
132 	     65.500 	            0.0023514 	            0.0000179 	        27923.7624753 
133 	     66.000 	            0.0023693 	            0.0000179 	        27923.7921032 
134 	     66.500 	            0.0023871 	            0.0000179 	        27924.0291826 
135 	     67.000 	            0.0024051 	            0.0000179 	        27923.8859124 
136 	     67.500 	            0.0024230 	            0.0000179 	        27923.7329734 
137 	     68.000 	            0.0024409 	            0.0000179 	        27924.0470225 
138 	     68.500 	            0.0024588 	            0.0000179 	        27923.8949690 
139 	     69.000 	            0.0024767 	            0.0000179 	        27923.8436282 
140 	     69.500 	            0.0024946 	            0.0000179 	        27924.0808826 
141 	     70.000 	            0.0025125 	            0.0000179 	        27924.0297123 
142 	     70.500 	            0.0025304 	            0.0000179 	        27924.1103436 
143 	     71.000 	            0.0025483 	            0.0000179 	        27923.9970707 
144 	     71.500 	            0.0025662 	            0.0000179 	        27923.9235886 
145 	     72.000 	            0.0025841 	            0.0000179 	        27923.8889930 
146 	     72.500 	            0.0026020 	            0.0000179 	        27924.0117900 
147 	     73.000 	            0.0026199 	            0.0000179 	        27924.0623852 
