# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000157 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000337 	            0.0000179 	        27926.1492610 
3 	      1.000 	            0.0000515 	            0.0000179 	        27935.4844712 
4 	      1.500 	            0.0000695 	            0.0000179 	        27929.0018273 
5 	      2.000 	            0.0000874 	            0.0000179 	        27930.7285852 
6 	      2.500 	            0.0001053 	            0.0000179 	        27931.2520841 
7 	      3.000 	            0.0001232 	            0.0000179 	        27931.6817071 
8 	      3.500 	            0.0001411 	            0.0000179 	        27928.2169287 
9 	      4.000 	            0.0001590 	            0.0000179 	        27929.5433875 
10 	      4.500 	            0.0001769 	            0.0000179 	        27924.8521339 
11 	      5.000 	            0.0001948 	            0.0000179 	        27926.1824277 
12 	      5.500 	            0.0002127 	            0.0000179 	        27924.2250461 
13 	      6.000 	            0.0002306 	            0.0000179 	        27928.4389269 
14 	      6.500 	            0.0002485 	            0.0000179 	        27926.0189088 
15 	      7.000 	            0.0002664 	            0.0000179 	        27927.7994544 
16 	      7.500 	            0.0002843 	            0.0000179 	        27923.6858898 
17 	      8.000 	            0.0003022 	            0.0000179 	        27925.5377091 
18 	      8.500 	            0.0003201 	            0.0000179 	        27925.0241558 
19 	      9.000 	            0.0003380 	            0.0000179 	        27925.5608650 
20 	      9.500 	            0.0003559 	            0.0000179 	        27925.9234086 
21 	     10.000 	            0.0003738 	            0.0000179 	        27926.1144943 
22 	     10.500 	            0.0003917 	            0.0000179 	        27926.0837893 
23 	     11.000 	            0.0004096 	            0.0000179 	        27926.0962001 
24 	     11.500 	            0.0004276 	            0.0000179 	        27925.6650337 
25 	     12.000 	            0.0004455 	            0.0000179 	        27926.0032002 
26 	     12.500 	            0.0004634 	            0.0000179 	        27926.0606316 
27 	     13.000 	            0.0004813 	            0.0000179 	        27926.1751719 
28 	     13.500 	            0.0004992 	            0.0000179 	        27926.4243751 
29 	     14.000 	            0.0005171 	            0.0000179 	        27926.4644795 
30 	     14.500 	            0.0005350 	            0.0000179 	        27924.5186302 
31 	     15.000 	            0.0005529 	            0.0000179 	        27925.3725444 
32 	     15.500 	            0.0005708 	            0.0000179 	        27927.0735967 
33 	     16.000 	            0.0005887 	            0.0000179 	        27927.2215677 
34 	     16.500 	            0.0006066 	            0.0000179 	        27926.5153142 
35 	     17.000 	            0.0006245 	            0.0000179 	        27926.5428860 
36 	     17.500 	            0.0006424 	            0.0000179 	        27925.7072080 
37 	     18.000 	            0.0006603 	            0.0000179 	        27926.2935635 
38 	     18.500 	            0.0006782 	            0.0000179 	        27925.8862237 
39 	     19.000 	            0.0006961 	            0.0000179 	        27926.0283354 
40 	     19.500 	            0.0007140 	            0.0000179 	        27925.6773203 
41 	     20.000 	            0.0007319 	            0.0000179 	        27926.0647786 
42 	     20.500 	            0.0007498 	            0.0000179 	        27925.3790600 
43 	     21.000 	            0.0007678 	            0.0000179 	        27925.0015939 
44 	     21.500 	            0.0007857 	            0.0000179 	        27924.8614027 
45 	     22.000 	            0.0008036 	            0.0000179 	        27925.6754687 
46 	     22.500 	            0.0008215 	            0.0000179 	        27925.4340880 
47 	     23.000 	            0.0008393 	            0.0000179 	        27926.0889027 
48 	     23.500 	            0.0008573 	            0.0000180 	        27924.2084502 
49 	     24.000 	            0.0008752 	            0.0000179 	        27925.4059123 
50 	     24.500 	            0.0008931 	            0.0000179 	        27925.2280814 
51 	     25.000 	            0.0009110 	            0.0000179 	        27925.2146704 
52 	     25.500 	            0.0009289 	            0.0000179 	        27925.2582854 
53 	     26.000 	            0.0009468 	            0.0000179 	        27925.4682625 
54 	     26.500 	            0.0009647 	            0.0000179 	        27924.3044696 
55 	     27.000 	            0.0009826 	            0.0000179 	        27925.9048677 
56 	     27.500 	            0.0010005 	            0.0000179 	        27924.8066794 
57 	     28.000 	            0.0010184 	            0.0000179 	        27925.0029354 
58 	     28.500 	            0.0010363 	            0.0000179 	        27924.7540903 
59 	     29.000 	            0.0010542 	            0.0000179 	        27925.2072454 
60 	     29.500 	            0.0010722 	            0.0000179 	        27924.8103738 
61 	     30.000 	            0.0010901 	            0.0000179 	        27924.9476874 
62 	     30.500 	            0.0011080 	            0.0000179 	        27924.5455706 
63 	     31.000 	            0.0011259 	            0.0000179 	        27924.9942187 
64 	     31.500 	            0.0011438 	            0.0000179 	        27924.6251625 
