20     1 1.0358592            0.0019284   279 139.000        27921.7387811        27921.6923937        27921.6251033            0.0000000            0.0000000 
20     2 1.0340581            0.0021517   279 139.000        27922.2996726        27922.4399544        27922.4091355            0.0000000            0.0000000 
20     3 1.0351456            0.0020431   279 139.000        27921.7387811        27922.0670127        27922.1130267            0.0000000            0.0000000 
20     4 1.0344153            0.0023071   279 139.000        27920.6170657        27920.7064466        27921.2535398            0.0000000            0.0000000 
20     5 1.0301101            0.0022191   279 139.000        27921.7387811        27922.0761104        27921.8772805            0.0000000            0.0000000 
20     6 1.0369699            0.0024977   279 139.000        27922.2996726        27921.9515870        27921.9154603            0.0000000            0.0000000 
20     7 1.0374083            0.0023122   279 139.000        27922.8605866        27922.5411203        27922.3630845            0.0000000            0.0000000 
20     8 1.0355921            0.0023936   279 139.000        27921.7387811        27921.7422680        27921.8786800            0.0000000            0.0000000 
20     9 1.0422049            0.0024247   279 139.000        27921.7387811        27921.8343283        27921.8527474            0.0000000            0.0000000 
20    10 1.0273975            0.0027198   279 139.000        27921.7387811        27921.9912919        27921.7476521            0.0000000            0.0000000 
20    11 1.0409193            0.0024560   279 139.000        27921.1779121        27921.5158211        27921.6547378            0.0000000            0.0000000 
20    12 1.0296791            0.0027106   279 139.000        27921.7387811        27921.6390949        27921.4605256            0.0000000            0.0000000 
20    13 1.0332658            0.0026935   279 139.000        27921.7387811        27921.7497295        27921.7287117            0.0000000            0.0000000 
20    14 1.0251098            0.0026670   279 139.000        27921.1779121        27921.1157054        27921.1985756            0.0000000            0.0000000 
20    15 1.0303234            0.0024362   279 139.000        27922.2996726        27922.2210065        27921.9905622            0.0000000            0.0000000 
20    16 1.0398395            0.0026335   279 139.000        27921.7387811        27922.0396825        27921.9397171            0.0000000            0.0000000 
20    17 1.0367228            0.0024385   279 139.000        27921.7387811        27921.9778023        27921.8898881            0.0000000            0.0000000 
20    18 1.0358250            0.0024311   279 139.000        27921.7387811        27921.6959352        27921.6652824            0.0000000            0.0000000 
20    19 1.0258413            0.0023985   279 139.000        27921.7387811        27921.7692168        27921.8279396            0.0000000            0.0000000 
20    20 1.0266062            0.0024636   279 139.000        27921.7387811        27921.6166536        27921.5901146            0.0000000            0.0000000 
20    21 1.0263365            0.0024231   279 139.000        27921.1779121        27921.6384186        27921.8432812            0.0000000            0.0000000 
20    22 1.0464222            0.0024425   279 139.000        27921.7387811        27921.6101285        27921.4680060            0.0000000            0.0000000 
20    23 1.0412983            0.0024428   279 139.000        27921.1779121        27921.6451643        27921.8318209            0.0000000            0.0000000 
20    24 1.0336168            0.0022793   279 139.000        27921.1779121        27921.5533385        27921.8021910            0.0000000            0.0000000 
20    25 1.0384467            0.0023175   279 139.000        27922.2996726        27922.4925769        27922.4784202            0.0000000            0.0000000 
20    26 1.0288755            0.0023760   279 139.000        27922.2996726        27922.1347070        27921.9267499            0.0000000            0.0000000 
20    27 1.0450591            0.0022341   279 139.000        27921.1779121        27921.2880702        27921.5721878            0.0000000            0.0000000 
20    28 1.0376924            0.0024732   279 139.000        27921.7387811        27921.7927826        27921.8151032            0.0000000            0.0000000 
20    29 1.0226528            0.0022969   279 139.000        27921.7387811        27922.1291240        27921.7618115            0.0000000            0.0000000 
20    30 1.0294342            0.0021604   279 139.000        27921.1779121        27921.3026617        27921.3826150            0.0000000            0.0000000 
20    31 1.0340209            0.0020779   279 139.000        27922.2996726        27922.5196117        27922.4012204            0.0000000            0.0000000 
