20 	 1.0345486 	 0.0053480 	 0.0021465 	 0.0004119 
21 	 1.0344563 	 0.0062217 	 0.0020347 	 0.0004414 
20 	 1.0345486 	 0.0053480 	 0.0021465 	 0.0004119 
21 	 1.0344563 	 0.0062217 	 0.0020347 	 0.0004414 
20 	 1.0345486 	 0.0053480 	 0.0021465 	 0.0004119 
21 	 1.0344563 	 0.0062217 	 0.0020347 	 0.0004414 
20 	 1.0345486 	 0.0053480 	 0.0021465 	 0.0004119 
21 	 1.0344563 	 0.0062217 	 0.0020347 	 0.0004414 
20 	 1.0347186 	 0.0053443 	 0.0021465 	 0.0004119 
21 	 1.0346445 	 0.0062285 	 0.0020347 	 0.0004414 
20 	 1.0347186 	 0.0053443 	 0.0021465 	 0.0004119 
21 	 1.0346445 	 0.0062285 	 0.0020347 	 0.0004414 
20 	 1.0347186 	 0.0053443 	 0.0021465 	 0.0004119 
21 	 1.0346445 	 0.0062285 	 0.0020347 	 0.0004414 
