        238.951	               0.000	              73.500	        1.4504896589	        0.0000000053	      114.1349313428	        0.0036767757
        220.762	              91.443	              73.500	        1.4504972971	        0.0000000055	      119.4014844107	        0.0038208536
        168.964	             168.964	              73.500	        1.4504973675	        0.0000003153	      119.4500044423	        0.2173977128
         91.443	             220.762	              73.500	        1.4504848967	        0.0000000033	      110.8513984856	        0.0022985348
         -0.000	             238.951	              73.500	        1.4504757854	        0.0000000021	      104.5691138379	        0.0014410969
        -91.443	             220.762	              73.500	        1.4504668221	        0.0000000022	       98.3889486096	        0.0015052733
       -168.964	             168.964	              73.500	        1.4504584138	        0.0000000023	       92.5913734851	        0.0015645924
       -220.762	              91.442	              73.500	        1.4504493874	        0.0000000036	       86.3677140904	        0.0025064888
       -238.951	              -0.000	              73.500	        1.4504436242	        0.0000000040	       82.3939706530	        0.0027858890
       -220.762	             -91.443	              73.500	        1.4504437400	        0.0000000031	       82.4738074724	        0.0021054701
       -168.964	            -168.964	              73.500	        1.4504498515	        0.0000000036	       86.6876458066	        0.0024615522
        -91.442	            -220.762	              73.500	        1.4504596102	        0.0000000032	       93.4163067910	        0.0022016213
          0.000	            -238.951	              73.500	        1.4504664600	        0.0000000055	       98.1392256082	        0.0038264582
         91.443	            -220.762	              73.500	        1.4504696701	        0.0000000059	      100.3526456953	        0.0041024222
        168.965	            -168.964	              73.500	        1.4504752690	        0.0000000041	      104.2130594164	        0.0028141059
        220.762	             -91.442	              73.500	        1.4504835290	        0.0000000041	      109.9083528899	        0.0028420374
