# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000097 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000276 	            0.0000179 	        27912.7276977 
3 	      1.000 	            0.0000455 	            0.0000179 	        27915.7046394 
4 	      1.500 	            0.0000634 	            0.0000179 	        27924.0983953 
5 	      2.000 	            0.0000813 	            0.0000179 	        27928.4557414 
6 	      2.500 	            0.0000992 	            0.0000179 	        27928.6252648 
7 	      3.000 	            0.0001171 	            0.0000179 	        27928.6422448 
8 	      3.500 	            0.0001350 	            0.0000179 	        27927.1998516 
9 	      4.000 	            0.0001529 	            0.0000179 	        27926.2950926 
10 	      4.500 	            0.0001708 	            0.0000179 	        27926.2121819 
11 	      5.000 	            0.0001887 	            0.0000179 	        27926.9722816 
12 	      5.500 	            0.0002066 	            0.0000179 	        27927.2486071 
13 	      6.000 	            0.0002245 	            0.0000179 	        27927.9365707 
14 	      6.500 	            0.0002424 	            0.0000179 	        27926.2092710 
15 	      7.000 	            0.0002603 	            0.0000179 	        27926.0556565 
16 	      7.500 	            0.0002782 	            0.0000179 	        27925.4320344 
17 	      8.000 	            0.0002961 	            0.0000179 	        27925.7000777 
18 	      8.500 	            0.0003141 	            0.0000179 	        27925.0906472 
19 	      9.000 	            0.0003319 	            0.0000179 	        27926.3534990 
20 	      9.500 	            0.0003499 	            0.0000179 	        27925.9162899 
21 	     10.000 	            0.0003678 	            0.0000179 	        27926.4437652 
22 	     10.500 	            0.0003857 	            0.0000179 	        27926.0711409 
23 	     11.000 	            0.0004036 	            0.0000179 	        27925.9602842 
24 	     11.500 	            0.0004215 	            0.0000179 	        27924.7313716 
25 	     12.000 	            0.0004394 	            0.0000179 	        27925.6226766 
26 	     12.500 	            0.0004573 	            0.0000179 	        27925.7891318 
27 	     13.000 	            0.0004752 	            0.0000179 	        27926.3292101 
28 	     13.500 	            0.0004931 	            0.0000179 	        27925.6851447 
29 	     14.000 	            0.0005110 	            0.0000179 	        27926.0505322 
30 	     14.500 	            0.0005289 	            0.0000179 	        27925.4374872 
31 	     15.000 	            0.0005468 	            0.0000179 	        27926.2022240 
32 	     15.500 	            0.0005647 	            0.0000179 	        27925.5800136 
33 	     16.000 	            0.0005826 	            0.0000179 	        27925.8993950 
34 	     16.500 	            0.0006005 	            0.0000179 	        27925.7439322 
35 	     17.000 	            0.0006184 	            0.0000179 	        27925.6442889 
36 	     17.500 	            0.0006363 	            0.0000179 	        27925.5980406 
37 	     18.000 	            0.0006543 	            0.0000179 	        27925.1021482 
38 	     18.500 	            0.0006722 	            0.0000179 	        27925.1775009 
39 	     19.000 	            0.0006901 	            0.0000179 	        27925.6025686 
40 	     19.500 	            0.0007080 	            0.0000179 	        27925.6772184 
41 	     20.000 	            0.0007259 	            0.0000179 	        27925.6425975 
42 	     20.500 	            0.0007438 	            0.0000179 	        27925.4857719 
43 	     21.000 	            0.0007617 	            0.0000179 	        27925.2093074 
44 	     21.500 	            0.0007796 	            0.0000179 	        27925.4020071 
45 	     22.000 	            0.0007975 	            0.0000179 	        27925.4407917 
46 	     22.500 	            0.0008154 	            0.0000179 	        27925.2997101 
47 	     23.000 	            0.0008333 	            0.0000179 	        27925.1661637 
48 	     23.500 	            0.0008512 	            0.0000179 	        27924.9120923 
49 	     24.000 	            0.0008691 	            0.0000179 	        27925.0389024 
50 	     24.500 	            0.0008870 	            0.0000179 	        27924.9197136 
51 	     25.000 	            0.0009049 	            0.0000179 	        27925.3302302 
52 	     25.500 	            0.0009228 	            0.0000179 	        27925.0827181 
53 	     26.000 	            0.0009407 	            0.0000179 	        27925.1159254 
54 	     26.500 	            0.0009586 	            0.0000179 	        27925.0611194 
55 	     27.000 	            0.0009765 	            0.0000179 	        27925.1333181 
56 	     27.500 	            0.0009945 	            0.0000179 	        27924.7394881 
57 	     28.000 	            0.0010124 	            0.0000179 	        27924.7569993 
58 	     28.500 	            0.0010303 	            0.0000179 	        27924.7804986 
59 	     29.000 	            0.0010482 	            0.0000179 	        27924.8950248 
60 	     29.500 	            0.0010661 	            0.0000179 	        27925.0845645 
61 	     30.000 	            0.0010840 	            0.0000179 	        27924.9814290 
62 	     30.500 	            0.0011019 	            0.0000179 	        27924.9612062 
63 	     31.000 	            0.0011198 	            0.0000179 	        27924.6447630 
64 	     31.500 	            0.0011377 	            0.0000179 	        27924.9049172 
65 	     32.000 	            0.0011556 	            0.0000179 	        27924.7061081 
66 	     32.500 	            0.0011735 	            0.0000179 	        27924.8361404 
67 	     33.000 	            0.0011914 	            0.0000179 	        27924.8270794 
68 	     33.500 	            0.0012093 	            0.0000179 	        27925.0247889 
69 	     34.000 	            0.0012272 	            0.0000179 	        27924.4884150 
70 	     34.500 	            0.0012451 	            0.0000179 	        27924.6115246 
71 	     35.000 	            0.0012631 	            0.0000179 	        27924.3659250 
72 	     35.500 	            0.0012809 	            0.0000179 	        27924.7657269 
73 	     36.000 	            0.0012989 	            0.0000179 	        27924.6499543 
74 	     36.500 	            0.0013168 	            0.0000179 	        27924.5281520 
75 	     37.000 	            0.0013347 	            0.0000179 	        27924.4248675 
76 	     37.500 	            0.0013526 	            0.0000179 	        27924.6690248 
77 	     38.000 	            0.0013705 	            0.0000179 	        27924.5143924 
78 	     38.500 	            0.0013884 	            0.0000179 	        27924.3462983 
79 	     39.000 	            0.0014063 	            0.0000179 	        27923.8872070 
80 	     39.500 	            0.0014242 	            0.0000179 	        27924.6859150 
81 	     40.000 	            0.0014421 	            0.0000179 	        27924.7561424 
82 	     40.500 	            0.0014600 	            0.0000179 	        27924.3986216 
83 	     41.000 	            0.0014779 	            0.0000179 	        27924.3590676 
84 	     41.500 	            0.0014958 	            0.0000179 	        27924.0826125 
85 	     42.000 	            0.0015137 	            0.0000179 	        27924.5544199 
86 	     42.500 	            0.0015316 	            0.0000179 	        27924.2006246 
87 	     43.000 	            0.0015495 	            0.0000179 	        27924.3911431 
88 	     43.500 	            0.0015674 	            0.0000179 	        27924.4479441 
89 	     44.000 	            0.0015854 	            0.0000179 	        27924.2645551 
90 	     44.500 	            0.0016033 	            0.0000179 	        27924.2001781 
91 	     45.000 	            0.0016212 	            0.0000179 	        27923.9551350 
92 	     45.500 	            0.0016391 	            0.0000179 	        27924.3629808 
93 	     46.000 	            0.0016570 	            0.0000179 	        27924.4975638 
94 	     46.500 	            0.0016749 	            0.0000179 	        27924.1188659 
95 	     47.000 	            0.0016928 	            0.0000179 	        27924.3310136 
96 	     47.500 	            0.0017107 	            0.0000179 	        27924.6260117 
97 	     48.000 	            0.0017286 	            0.0000179 	        27924.4994830 
98 	     48.500 	            0.0017465 	            0.0000179 	        27924.2277932 
99 	     49.000 	            0.0017644 	            0.0000179 	        27924.2151792 
100 	     49.500 	            0.0017824 	            0.0000179 	        27923.8268253 
101 	     50.000 	            0.0018002 	            0.0000179 	        27924.3649987 
102 	     50.500 	            0.0018181 	            0.0000179 	        27924.3616229 
103 	     51.000 	            0.0018361 	            0.0000179 	        27924.1042734 
