# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000043 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000222 	            0.0000179 	        27902.4914671 
3 	      1.000 	            0.0000401 	            0.0000179 	        27925.3920526 
4 	      1.500 	            0.0000579 	            0.0000179 	        27945.9022687 
5 	      2.000 	            0.0000759 	            0.0000179 	        27924.6320998 
6 	      2.500 	            0.0000938 	            0.0000179 	        27932.9602292 
7 	      3.000 	            0.0001117 	            0.0000179 	        27931.6593608 
8 	      3.500 	            0.0001296 	            0.0000179 	        27933.0243729 
9 	      4.000 	            0.0001475 	            0.0000179 	        27931.4809054 
10 	      4.500 	            0.0001654 	            0.0000179 	        27931.7570556 
11 	      5.000 	            0.0001833 	            0.0000179 	        27931.8920857 
12 	      5.500 	            0.0002012 	            0.0000179 	        27932.1306440 
13 	      6.000 	            0.0002191 	            0.0000179 	        27927.8233254 
14 	      6.500 	            0.0002370 	            0.0000179 	        27928.5690531 
15 	      7.000 	            0.0002549 	            0.0000179 	        27930.7013621 
16 	      7.500 	            0.0002728 	            0.0000179 	        27928.1857775 
17 	      8.000 	            0.0002907 	            0.0000179 	        27928.5540226 
18 	      8.500 	            0.0003086 	            0.0000179 	        27928.1133326 
19 	      9.000 	            0.0003265 	            0.0000179 	        27926.6796849 
20 	      9.500 	            0.0003444 	            0.0000179 	        27929.5486787 
21 	     10.000 	            0.0003624 	            0.0000179 	        27926.7774889 
22 	     10.500 	            0.0003802 	            0.0000179 	        27929.5996823 
23 	     11.000 	            0.0003982 	            0.0000180 	        27925.6394342 
24 	     11.500 	            0.0004160 	            0.0000179 	        27927.7305493 
25 	     12.000 	            0.0004339 	            0.0000179 	        27929.1617907 
26 	     12.500 	            0.0004518 	            0.0000179 	        27928.2469387 
27 	     13.000 	            0.0004698 	            0.0000179 	        27926.5748612 
28 	     13.500 	            0.0004877 	            0.0000179 	        27926.8873291 
29 	     14.000 	            0.0005056 	            0.0000179 	        27926.1975092 
30 	     14.500 	            0.0005235 	            0.0000179 	        27928.0776777 
31 	     15.000 	            0.0005414 	            0.0000179 	        27926.9719036 
32 	     15.500 	            0.0005593 	            0.0000179 	        27927.9698995 
33 	     16.000 	            0.0005772 	            0.0000179 	        27926.6001535 
34 	     16.500 	            0.0005951 	            0.0000179 	        27927.1236452 
35 	     17.000 	            0.0006130 	            0.0000179 	        27927.1429583 
36 	     17.500 	            0.0006309 	            0.0000179 	        27926.7249381 
37 	     18.000 	            0.0006488 	            0.0000179 	        27926.5561475 
38 	     18.500 	            0.0006667 	            0.0000179 	        27926.0545489 
39 	     19.000 	            0.0006846 	            0.0000179 	        27925.9076041 
40 	     19.500 	            0.0007025 	            0.0000179 	        27926.2875471 
41 	     20.000 	            0.0007204 	            0.0000179 	        27926.4703568 
42 	     20.500 	            0.0007383 	            0.0000179 	        27926.5942585 
43 	     21.000 	            0.0007563 	            0.0000179 	        27926.1673205 
44 	     21.500 	            0.0007742 	            0.0000179 	        27926.2579198 
45 	     22.000 	            0.0007920 	            0.0000179 	        27926.9877739 
46 	     22.500 	            0.0008100 	            0.0000179 	        27926.6757270 
47 	     23.000 	            0.0008279 	            0.0000179 	        27926.0491950 
48 	     23.500 	            0.0008458 	            0.0000179 	        27925.7371362 
49 	     24.000 	            0.0008637 	            0.0000179 	        27925.7257625 
50 	     24.500 	            0.0008816 	            0.0000179 	        27926.2981196 
51 	     25.000 	            0.0008995 	            0.0000179 	        27925.9496439 
52 	     25.500 	            0.0009174 	            0.0000179 	        27925.8475818 
53 	     26.000 	            0.0009353 	            0.0000179 	        27925.3618382 
54 	     26.500 	            0.0009532 	            0.0000179 	        27925.4775608 
55 	     27.000 	            0.0009711 	            0.0000179 	        27925.4982336 
56 	     27.500 	            0.0009890 	            0.0000179 	        27926.1362592 
57 	     28.000 	            0.0010069 	            0.0000179 	        27925.4968512 
58 	     28.500 	            0.0010248 	            0.0000179 	        27925.8878670 
59 	     29.000 	            0.0010428 	            0.0000179 	        27925.3023832 
60 	     29.500 	            0.0010606 	            0.0000179 	        27925.6698543 
61 	     30.000 	            0.0010786 	            0.0000179 	        27925.3503615 
62 	     30.500 	            0.0010965 	            0.0000179 	        27925.6250078 
63 	     31.000 	            0.0011144 	            0.0000179 	        27925.6232549 
64 	     31.500 	            0.0011323 	            0.0000179 	        27925.3960042 
65 	     32.000 	            0.0011502 	            0.0000179 	        27925.7590773 
66 	     32.500 	            0.0011681 	            0.0000179 	        27924.9573600 
67 	     33.000 	            0.0011860 	            0.0000179 	        27925.4622728 
68 	     33.500 	            0.0012039 	            0.0000179 	        27925.1603476 
69 	     34.000 	            0.0012218 	            0.0000179 	        27924.8274467 
70 	     34.500 	            0.0012397 	            0.0000179 	        27925.1788704 
71 	     35.000 	            0.0012576 	            0.0000179 	        27925.0058359 
72 	     35.500 	            0.0012755 	            0.0000179 	        27925.5122768 
73 	     36.000 	            0.0012935 	            0.0000179 	        27924.6536826 
74 	     36.500 	            0.0013113 	            0.0000179 	        27924.9730525 
75 	     37.000 	            0.0013293 	            0.0000179 	        27924.5748445 
76 	     37.500 	            0.0013472 	            0.0000179 	        27924.8820283 
77 	     38.000 	            0.0013651 	            0.0000179 	        27924.9002842 
78 	     38.500 	            0.0013830 	            0.0000179 	        27924.8336191 
79 	     39.000 	            0.0014009 	            0.0000179 	        27925.0336620 
80 	     39.500 	            0.0014188 	            0.0000179 	        27925.0250437 
81 	     40.000 	            0.0014367 	            0.0000179 	        27925.1242324 
82 	     40.500 	            0.0014546 	            0.0000179 	        27925.1413163 
83 	     41.000 	            0.0014725 	            0.0000180 	        27924.2691633 
84 	     41.500 	            0.0014904 	            0.0000179 	        27924.4474425 
85 	     42.000 	            0.0015083 	            0.0000179 	        27924.8351721 
86 	     42.500 	            0.0015262 	            0.0000179 	        27924.8759796 
87 	     43.000 	            0.0015441 	            0.0000179 	        27924.7616591 
88 	     43.500 	            0.0015620 	            0.0000179 	        27924.5983756 
89 	     44.000 	            0.0015799 	            0.0000179 	        27924.5887402 
90 	     44.500 	            0.0015978 	            0.0000179 	        27924.6796900 
91 	     45.000 	            0.0016158 	            0.0000179 	        27924.6325930 
92 	     45.500 	            0.0016337 	            0.0000179 	        27924.5379195 
93 	     46.000 	            0.0016516 	            0.0000179 	        27924.6237047 
94 	     46.500 	            0.0016695 	            0.0000179 	        27924.8469061 
95 	     47.000 	            0.0016874 	            0.0000179 	        27924.2684733 
96 	     47.500 	            0.0017053 	            0.0000179 	        27924.3582443 
97 	     48.000 	            0.0017232 	            0.0000179 	        27924.5152674 
98 	     48.500 	            0.0017411 	            0.0000179 	        27924.5631100 
99 	     49.000 	            0.0017590 	            0.0000179 	        27924.6373370 
100 	     49.500 	            0.0017769 	            0.0000179 	        27924.5246265 
101 	     50.000 	            0.0017948 	            0.0000179 	        27924.7302217 
102 	     50.500 	            0.0018127 	            0.0000179 	        27924.1610889 
103 	     51.000 	            0.0018306 	            0.0000179 	        27924.6527629 
104 	     51.500 	            0.0018485 	            0.0000179 	        27924.3396542 
105 	     52.000 	            0.0018664 	            0.0000179 	        27924.6134362 
106 	     52.500 	            0.0018843 	            0.0000179 	        27924.5882977 
107 	     53.000 	            0.0019023 	            0.0000179 	        27924.4241654 
108 	     53.500 	            0.0019201 	            0.0000179 	        27924.7917033 
109 	     54.000 	            0.0019381 	            0.0000179 	        27924.6153211 
110 	     54.500 	            0.0019560 	            0.0000179 	        27924.5299054 
111 	     55.000 	            0.0019739 	            0.0000179 	        27924.3697607 
112 	     55.500 	            0.0019918 	            0.0000179 	        27924.5245080 
113 	     56.000 	            0.0020097 	            0.0000179 	        27924.7685117 
114 	     56.500 	            0.0020276 	            0.0000179 	        27924.6454848 
115 	     57.000 	            0.0020455 	            0.0000179 	        27924.6468802 
116 	     57.500 	            0.0020634 	            0.0000179 	        27924.9571474 
117 	     58.000 	            0.0020813 	            0.0000179 	        27924.4666464 
118 	     58.500 	            0.0020992 	            0.0000179 	        27924.6327208 
119 	     59.000 	            0.0021171 	            0.0000179 	        27924.3347736 
120 	     59.500 	            0.0021350 	            0.0000179 	        27924.7099926 
121 	     60.000 	            0.0021529 	            0.0000179 	        27924.5708567 
