# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000151 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000330 	            0.0000179 	        27963.3640378 
3 	      1.000 	            0.0000509 	            0.0000180 	        27906.9494744 
4 	      1.500 	            0.0000688 	            0.0000179 	        27923.0645524 
5 	      2.000 	            0.0000867 	            0.0000179 	        27922.9203165 
6 	      2.500 	            0.0001046 	            0.0000179 	        27925.9679055 
7 	      3.000 	            0.0001226 	            0.0000179 	        27923.9840841 
8 	      3.500 	            0.0001405 	            0.0000179 	        27923.6226478 
9 	      4.000 	            0.0001584 	            0.0000179 	        27923.7395310 
10 	      4.500 	            0.0001762 	            0.0000179 	        27927.5115074 
11 	      5.000 	            0.0001942 	            0.0000179 	        27925.8130700 
12 	      5.500 	            0.0002121 	            0.0000179 	        27926.4353519 
13 	      6.000 	            0.0002300 	            0.0000179 	        27926.9331071 
14 	      6.500 	            0.0002479 	            0.0000179 	        27926.3788348 
15 	      7.000 	            0.0002658 	            0.0000179 	        27924.5586071 
16 	      7.500 	            0.0002837 	            0.0000179 	        27927.1806254 
17 	      8.000 	            0.0003016 	            0.0000179 	        27924.8883903 
18 	      8.500 	            0.0003195 	            0.0000179 	        27924.4621040 
19 	      9.000 	            0.0003374 	            0.0000179 	        27923.1552451 
20 	      9.500 	            0.0003553 	            0.0000179 	        27925.7369290 
21 	     10.000 	            0.0003732 	            0.0000179 	        27925.6761321 
22 	     10.500 	            0.0003911 	            0.0000179 	        27924.8666179 
23 	     11.000 	            0.0004090 	            0.0000179 	        27925.3240572 
24 	     11.500 	            0.0004269 	            0.0000179 	        27925.5391009 
25 	     12.000 	            0.0004448 	            0.0000179 	        27925.6985594 
26 	     12.500 	            0.0004627 	            0.0000179 	        27927.2625791 
27 	     13.000 	            0.0004807 	            0.0000179 	        27924.8560293 
28 	     13.500 	            0.0004985 	            0.0000179 	        27925.4789482 
29 	     14.000 	            0.0005165 	            0.0000179 	        27925.4243575 
30 	     14.500 	            0.0005343 	            0.0000179 	        27926.4979442 
31 	     15.000 	            0.0005523 	            0.0000179 	        27925.2961170 
32 	     15.500 	            0.0005702 	            0.0000179 	        27925.8364076 
33 	     16.000 	            0.0005881 	            0.0000179 	        27924.5498357 
34 	     16.500 	            0.0006060 	            0.0000179 	        27926.2742546 
