# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000019 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000197 	            0.0000179 	        27932.9608939 
3 	      1.000 	            0.0000377 	            0.0000180 	        27855.1532033 
4 	      1.500 	            0.0000556 	            0.0000179 	        27881.0408922 
5 	      2.000 	            0.0000734 	            0.0000178 	        27932.9608939 
6 	      2.500 	            0.0000915 	            0.0000180 	        27901.7857143 
7 	      3.000 	            0.0001094 	            0.0000179 	        27906.9767442 
8 	      3.500 	            0.0001273 	            0.0000179 	        27910.6858054 
9 	      4.000 	            0.0001452 	            0.0000179 	        27913.4682484 
10 	      4.500 	            0.0001631 	            0.0000179 	        27915.6327543 
11 	      5.000 	            0.0001810 	            0.0000179 	        27917.3646008 
12 	      5.500 	            0.0001989 	            0.0000179 	        27918.7817259 
13 	      6.000 	            0.0002168 	            0.0000179 	        27919.9627734 
14 	      6.500 	            0.0002347 	            0.0000179 	        27920.9621993 
15 	      7.000 	            0.0002526 	            0.0000179 	        27921.8189071 
16 	      7.500 	            0.0002704 	            0.0000179 	        27922.5614296 
17 	      8.000 	            0.0002884 	            0.0000179 	        27923.2111693 
18 	      8.500 	            0.0003062 	            0.0000179 	        27923.7844941 
19 	      9.000 	            0.0003242 	            0.0000179 	        27924.2941359 
20 	      9.500 	            0.0003420 	            0.0000179 	        27924.7501470 
21 	     10.000 	            0.0003600 	            0.0000179 	        27925.1605697 
22 	     10.500 	            0.0003778 	            0.0000179 	        27925.5319149 
23 	     11.000 	            0.0003958 	            0.0000179 	        27925.8695100 
24 	     11.500 	            0.0004136 	            0.0000179 	        27926.1777562 
25 	     12.000 	            0.0004316 	            0.0000179 	        27926.4603212 
26 	     12.500 	            0.0004495 	            0.0000180 	        27920.4824659 
27 	     13.000 	            0.0004675 	            0.0000179 	        27920.9621993 
28 	     13.500 	            0.0004853 	            0.0000179 	        27921.4064116 
29 	     14.000 	            0.0005031 	            0.0000178 	        27927.3887891 
30 	     14.500 	            0.0005211 	            0.0000180 	        27922.2029655 
31 	     15.000 	            0.0005391 	            0.0000179 	        27922.5614296 
32 	     15.500 	            0.0005570 	            0.0000179 	        27922.8967754 
33 	     16.000 	            0.0005749 	            0.0000179 	        27923.2111693 
34 	     16.500 	            0.0005927 	            0.0000179 	        27923.5065155 
35 	     17.000 	            0.0006107 	            0.0000179 	        27923.7844941 
36 	     17.500 	            0.0006286 	            0.0000179 	        27924.0465933 
37 	     18.000 	            0.0006465 	            0.0000179 	        27924.2941359 
38 	     18.500 	            0.0006643 	            0.0000179 	        27924.5283019 
39 	     19.000 	            0.0006823 	            0.0000179 	        27924.7501470 
40 	     19.500 	            0.0007002 	            0.0000179 	        27924.9606186 
41 	     20.000 	            0.0007181 	            0.0000179 	        27925.1605697 
42 	     20.500 	            0.0007361 	            0.0000180 	        27921.5472623 
43 	     21.000 	            0.0007538 	            0.0000178 	        27925.5319149 
44 	     21.500 	            0.0007718 	            0.0000180 	        27922.0779221 
45 	     22.000 	            0.0007897 	            0.0000179 	        27922.3251682 
46 	     22.500 	            0.0008077 	            0.0000179 	        27922.5614296 
47 	     23.000 	            0.0008255 	            0.0000179 	        27922.7874226 
48 	     23.500 	            0.0008434 	            0.0000179 	        27923.0038023 
49 	     24.000 	            0.0008613 	            0.0000179 	        27923.2111693 
50 	     24.500 	            0.0008793 	            0.0000179 	        27923.4100752 
51 	     25.000 	            0.0008971 	            0.0000179 	        27923.6010276 
52 	     25.500 	            0.0009150 	            0.0000179 	        27923.7844941 
53 	     26.000 	            0.0009329 	            0.0000179 	        27923.9609065 
54 	     26.500 	            0.0009509 	            0.0000179 	        27924.1306639 
55 	     27.000 	            0.0009687 	            0.0000179 	        27924.2941359 
56 	     27.500 	            0.0009866 	            0.0000179 	        27924.4516653 
57 	     28.000 	            0.0010045 	            0.0000179 	        27924.6035704 
58 	     28.500 	            0.0010226 	            0.0000180 	        27922.0143039 
59 	     29.000 	            0.0010403 	            0.0000178 	        27924.8916707 
60 	     29.500 	            0.0010584 	            0.0000180 	        27922.3852343 
61 	     30.000 	            0.0010762 	            0.0000179 	        27922.5614296 
62 	     30.500 	            0.0010941 	            0.0000179 	        27922.7318502 
63 	     31.000 	            0.0011120 	            0.0000179 	        27922.8967754 
64 	     31.500 	            0.0011300 	            0.0000179 	        27923.0564666 
65 	     32.000 	            0.0011479 	            0.0000179 	        27923.2111693 
66 	     32.500 	            0.0011658 	            0.0000179 	        27923.3611135 
67 	     33.000 	            0.0011837 	            0.0000179 	        27923.5065155 
68 	     33.500 	            0.0012016 	            0.0000179 	        27923.6475786 
69 	     34.000 	            0.0012194 	            0.0000179 	        27923.7844941 
70 	     34.500 	            0.0012373 	            0.0000179 	        27923.9174423 
71 	     35.000 	            0.0012552 	            0.0000179 	        27924.0465933 
72 	     35.500 	            0.0012732 	            0.0000179 	        27924.1721073 
73 	     36.000 	            0.0012911 	            0.0000179 	        27924.2941359 
74 	     36.500 	            0.0013090 	            0.0000180 	        27922.2766218 
75 	     37.000 	            0.0013269 	            0.0000179 	        27922.4209494 
76 	     37.500 	            0.0013448 	            0.0000178 	        27924.6407030 
77 	     38.000 	            0.0013627 	            0.0000180 	        27922.6982144 
78 	     38.500 	            0.0013806 	            0.0000179 	        27922.8314476 
79 	     39.000 	            0.0013986 	            0.0000179 	        27922.9612658 
80 	     39.500 	            0.0014165 	            0.0000179 	        27923.0877987 
81 	     40.000 	            0.0014344 	            0.0000179 	        27923.2111693 
82 	     40.500 	            0.0014522 	            0.0000179 	        27923.3314948 
83 	     41.000 	            0.0014701 	            0.0000179 	        27923.4488865 
84 	     41.500 	            0.0014880 	            0.0000179 	        27923.5634504 
85 	     42.000 	            0.0015059 	            0.0000179 	        27923.6752875 
86 	     42.500 	            0.0015238 	            0.0000179 	        27923.7844941 
87 	     43.000 	            0.0015418 	            0.0000179 	        27923.8911618 
88 	     43.500 	            0.0015597 	            0.0000179 	        27923.9953781 
89 	     44.000 	            0.0015776 	            0.0000179 	        27924.0972266 
90 	     44.500 	            0.0015954 	            0.0000179 	        27924.1967871 
91 	     45.000 	            0.0016133 	            0.0000179 	        27924.2941359 
