# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000041 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000220 	            0.0000179 	        27982.8317853 
3 	      1.000 	            0.0000399 	            0.0000179 	        27946.6235139 
4 	      1.500 	            0.0000578 	            0.0000179 	        27952.0997879 
5 	      2.000 	            0.0000757 	            0.0000179 	        27944.6109071 
6 	      2.500 	            0.0000936 	            0.0000179 	        27936.1130139 
7 	      3.000 	            0.0001115 	            0.0000179 	        27933.2849974 
8 	      3.500 	            0.0001294 	            0.0000179 	        27939.5590783 
9 	      4.000 	            0.0001473 	            0.0000180 	        27926.2917196 
10 	      4.500 	            0.0001652 	            0.0000179 	        27932.7084598 
11 	      5.000 	            0.0001831 	            0.0000179 	        27927.9453538 
12 	      5.500 	            0.0002010 	            0.0000179 	        27933.9152858 
13 	      6.000 	            0.0002189 	            0.0000179 	        27931.3253248 
14 	      6.500 	            0.0002368 	            0.0000179 	        27931.7434089 
15 	      7.000 	            0.0002547 	            0.0000179 	        27929.5999932 
16 	      7.500 	            0.0002726 	            0.0000179 	        27931.2239088 
17 	      8.000 	            0.0002905 	            0.0000179 	        27929.6707350 
18 	      8.500 	            0.0003084 	            0.0000179 	        27928.8490582 
19 	      9.000 	            0.0003263 	            0.0000179 	        27931.1495882 
20 	      9.500 	            0.0003442 	            0.0000179 	        27929.4281606 
21 	     10.000 	            0.0003622 	            0.0000179 	        27928.1284171 
22 	     10.500 	            0.0003801 	            0.0000179 	        27926.9281826 
23 	     11.000 	            0.0003980 	            0.0000179 	        27928.3197832 
24 	     11.500 	            0.0004158 	            0.0000179 	        27929.5579154 
25 	     12.000 	            0.0004338 	            0.0000179 	        27927.8336510 
26 	     12.500 	            0.0004517 	            0.0000179 	        27927.2587437 
27 	     13.000 	            0.0004696 	            0.0000179 	        27926.0624154 
28 	     13.500 	            0.0004875 	            0.0000179 	        27927.2117266 
29 	     14.000 	            0.0005054 	            0.0000179 	        27927.9305310 
30 	     14.500 	            0.0005233 	            0.0000179 	        27927.5389162 
31 	     15.000 	            0.0005412 	            0.0000179 	        27927.7246417 
32 	     15.500 	            0.0005591 	            0.0000179 	        27928.4084159 
33 	     16.000 	            0.0005770 	            0.0000179 	        27927.2062150 
34 	     16.500 	            0.0005949 	            0.0000179 	        27927.6893744 
35 	     17.000 	            0.0006128 	            0.0000179 	        27926.3771898 
36 	     17.500 	            0.0006307 	            0.0000179 	        27927.9057105 
37 	     18.000 	            0.0006486 	            0.0000179 	        27926.5008036 
38 	     18.500 	            0.0006665 	            0.0000179 	        27926.7870597 
39 	     19.000 	            0.0006845 	            0.0000179 	        27926.1205191 
40 	     19.500 	            0.0007023 	            0.0000179 	        27927.3421563 
41 	     20.000 	            0.0007203 	            0.0000179 	        27926.4003579 
42 	     20.500 	            0.0007381 	            0.0000179 	        27927.3072991 
43 	     21.000 	            0.0007561 	            0.0000179 	        27926.1470847 
44 	     21.500 	            0.0007740 	            0.0000179 	        27926.8497627 
45 	     22.000 	            0.0007919 	            0.0000179 	        27925.8279978 
46 	     22.500 	            0.0008098 	            0.0000179 	        27926.3487710 
47 	     23.000 	            0.0008277 	            0.0000179 	        27926.0722407 
48 	     23.500 	            0.0008456 	            0.0000179 	        27927.1909902 
49 	     24.000 	            0.0008635 	            0.0000179 	        27926.1756485 
50 	     24.500 	            0.0008814 	            0.0000179 	        27926.6883393 
51 	     25.000 	            0.0008993 	            0.0000179 	        27926.6274330 
52 	     25.500 	            0.0009172 	            0.0000179 	        27926.6078384 
53 	     26.000 	            0.0009351 	            0.0000179 	        27926.0493300 
54 	     26.500 	            0.0009530 	            0.0000179 	        27926.1884446 
55 	     27.000 	            0.0009709 	            0.0000179 	        27925.4704078 
56 	     27.500 	            0.0009889 	            0.0000179 	        27925.5293556 
57 	     28.000 	            0.0010067 	            0.0000179 	        27925.7115432 
58 	     28.500 	            0.0010246 	            0.0000179 	        27925.9914754 
59 	     29.000 	            0.0010426 	            0.0000179 	        27925.3938381 
60 	     29.500 	            0.0010605 	            0.0000179 	        27925.8204523 
61 	     30.000 	            0.0010784 	            0.0000179 	        27925.6608775 
62 	     30.500 	            0.0010963 	            0.0000179 	        27925.1403802 
63 	     31.000 	            0.0011142 	            0.0000179 	        27925.4478007 
64 	     31.500 	            0.0011321 	            0.0000179 	        27926.2814207 
65 	     32.000 	            0.0011500 	            0.0000179 	        27926.0132466 
66 	     32.500 	            0.0011679 	            0.0000179 	        27925.6108574 
67 	     33.000 	            0.0011858 	            0.0000179 	        27925.3248882 
68 	     33.500 	            0.0012037 	            0.0000179 	        27925.3355201 
69 	     34.000 	            0.0012216 	            0.0000179 	        27925.8189923 
70 	     34.500 	            0.0012395 	            0.0000179 	        27925.4482768 
71 	     35.000 	            0.0012574 	            0.0000179 	        27925.4517068 
72 	     35.500 	            0.0012753 	            0.0000179 	        27925.5151164 
73 	     36.000 	            0.0012933 	            0.0000179 	        27924.9666532 
74 	     36.500 	            0.0013112 	            0.0000179 	        27925.0919143 
75 	     37.000 	            0.0013291 	            0.0000179 	        27924.7055836 
76 	     37.500 	            0.0013470 	            0.0000179 	        27925.0900166 
77 	     38.000 	            0.0013649 	            0.0000179 	        27924.9335600 
78 	     38.500 	            0.0013828 	            0.0000179 	        27924.6448994 
79 	     39.000 	            0.0014007 	            0.0000179 	        27924.8939119 
80 	     39.500 	            0.0014186 	            0.0000179 	        27925.3218705 
81 	     40.000 	            0.0014365 	            0.0000179 	        27924.9403674 
82 	     40.500 	            0.0014544 	            0.0000179 	        27925.2004472 
83 	     41.000 	            0.0014723 	            0.0000179 	        27924.4404384 
84 	     41.500 	            0.0014902 	            0.0000179 	        27924.8829584 
85 	     42.000 	            0.0015081 	            0.0000179 	        27924.4958483 
86 	     42.500 	            0.0015260 	            0.0000179 	        27925.0215585 
87 	     43.000 	            0.0015439 	            0.0000179 	        27924.8886006 
88 	     43.500 	            0.0015618 	            0.0000179 	        27925.2748189 
89 	     44.000 	            0.0015798 	            0.0000179 	        27924.5424528 
90 	     44.500 	            0.0015976 	            0.0000179 	        27924.9479575 
91 	     45.000 	            0.0016156 	            0.0000179 	        27924.5886277 
92 	     45.500 	            0.0016335 	            0.0000179 	        27924.6837327 
