13     1 0.0029210            0.0006285    59 29.000        36200.2246910        36202.3603965        36161.9892959            0.0000000            0.0000000 
13     2 0.4517715            0.0030005    16 7.500         7849.2935636         7849.1107596         7849.0756817            0.0000000            0.0000000 
13     3 0.7393440            0.0018237    16 7.500         8166.3763066         8166.5566876         8166.2438351            0.0000000            0.0000000 
13     4 0.4630623            0.0036231    16 7.500         7848.4721641         7848.5398162         7847.2435424            0.0000000            0.0000000 
13     5 0.7280974            0.0017203    16 7.500         8164.5983018         8164.9493297         8165.4995717            0.0000000            0.0000000 
13     6 0.4545752            0.0053914    16 7.500         7847.6509365         7848.1950198         7846.4411132            0.0000000            0.0000000 
13     7 0.7414116            0.0014329    16 7.500         8165.4872074         8165.4693017         8166.0000410            0.0000000            0.0000000 
13     8 0.4499729            0.0054930    16 7.500         7846.0089968         7845.5452486         7849.0343273            0.0000000            0.0000000 
13     9 0.7423533            0.0012695    16 7.500         8165.4872074         8165.9515777         8166.1825935            0.0000000            0.0000000 
13    10 0.4553561            0.0050059    16 7.500         7849.2935636         7848.7136018         7847.8035807            0.0000000            0.0000000 
13    11 0.7323070            0.0017209    17 8.000         8166.5986117         8166.1761253         8166.0837963            0.0000000            0.0000000 
13    12 0.4515759            0.0042745    15 7.000         7846.6539626         7846.4810043         7847.8455903            0.0000000            0.0000000 
13    13 0.7433478            0.0017115    17 8.000         8165.7650301         8165.9182147         8165.2372336            0.0000000            0.0000000 
13    14 0.4494046            0.0026242    16 7.500         7848.4721641         7848.2941527         7848.2764330            0.0000000            0.0000000 
13    15 0.7375679            0.0016342    16 7.500         8165.4872074         8165.6527988         8165.5746103            0.0000000            0.0000000 
13    16 0.4538018            0.0042870    16 7.500         7847.6509365         7847.3048327         7847.9659309            0.0000000            0.0000000 
13    17 0.7348160            0.0013584    16 7.500         8165.4872074         8165.9038094         8165.7139396            0.0000000            0.0000000 
13    18 0.4561660            0.0044793    16 7.500         7842.7271777         7843.2906036         7842.3924554            0.0000000            0.0000000 
13    19 0.7374518            0.0012266    16 7.500         8167.2655995         8166.4815114         8166.3159282            0.0000000            0.0000000 
13    20 0.4449307            0.0045010    16 7.500         7849.2935636         7849.3224392         7848.3432723            0.0000000            0.0000000 
13    21 0.7365502            0.0012983    17 8.000         8164.0983774         8164.5740149         8164.7146635            0.0000000            0.0000000 
13    22 0.4593697            0.0042680    16 7.500         7845.1882845         7844.7589350         7844.5054520            0.0000000            0.0000000 
13    23 0.7393149            0.0015760    17 8.000         8165.7650301         8165.7341964         8165.5161924            0.0000000            0.0000000 
13    24 0.4593038            0.0026133    16 7.500         7846.8298807         7846.8906536         7847.7074355            0.0000000            0.0000000 
13    25 0.7389641            0.0014489    17 8.000         8165.7650301         8165.4525872         8165.5632294            0.0000000            0.0000000 
13    26 0.4620471            0.0043712    16 7.500         7846.0089968         7845.4723601         7846.0734422            0.0000000            0.0000000 
13    27 0.7428456            0.0014134    16 7.500         8164.5983018         8164.6313181         8164.7992404            0.0000000            0.0000000 
14     1 0.4479798            0.0026755    16 7.500         7987.2204473         7987.4363753         7987.3095036            0.0000000            0.0000000 
14     2 0.7327506            0.0022018    16 7.500         7913.0618274         7913.5258539         7913.7347463            0.0000000            0.0000000 
14     3 0.4591959            0.0040673    16 7.500         7982.1200511         7982.5073876         7983.3146908            0.0000000            0.0000000 
14     4 0.7347446            0.0021401    16 7.500         7913.8968028         7913.7604797         7913.7896344            0.0000000            0.0000000 
14     5 0.4551849            0.0053669    16 7.500         7982.9696647         7982.8393763         7983.6611767            0.0000000            0.0000000 
14     6 0.7314107            0.0018769    15 7.000         7914.0757490         7913.5973841         7913.6132681            0.0000000            0.0000000 
14     7 0.4561316            0.0050740    16 7.500         7987.2204473         7987.8759093         7988.2504862            0.0000000            0.0000000 
14     8 0.7347896            0.0020124    16 7.500         7913.8968028         7914.1792614         7914.0455429            0.0000000            0.0000000 
14     9 0.4560200            0.0050516    16 7.500         7985.5195911         7985.4150283         7986.1515231            0.0000000            0.0000000 
