#  r (mm)    th (deg)      z (mm)                   B (T)                   dB (T)                B (ppm)                 dB (ppm) 
    50.000    0         -100.000       1.4503993254	        0.0000000035	      149.0319039057	        0.0024264002 
    50.000    90        -100.000       1.4503984823	        0.0000000051	      148.4505312227	        0.0035016817 
    50.000    180       -100.000       1.4503993069	        0.0000000078	      149.0191457188	        0.0053619441 
    50.000    270       -100.000       1.4503997043	        0.0000000125	      149.2931864369	        0.0086360731 
    50.000    0         -80.000	       1.4503993045	        0.0000000072	      149.0175064568	        0.0049743225 
    50.000    90        -80.000	       1.4503984911	        0.0000000048	      148.4566220126	        0.0033160948 
    50.000    180       -80.000	       1.4503991882	        0.0000000059	      148.9373465735	        0.0040774175 
    50.000    270       -80.000	       1.4503996234	        0.0000000067	      149.2374476622	        0.0046193416 
    50.000    0         -60.000	       1.4503993008	        0.0000000100	      149.0149473655	        0.0068787086 
    50.000    90        -60.000	       1.4503985230	        0.0000000067	      148.4786084468	        0.0046443920 
    50.000    180       -60.000	       1.4503990921	        0.0000000029	      148.8710809775	        0.0019966371 
    50.000    270       -60.000	       1.4503995378	        0.0000000053	      149.1783990265	        0.0036884981 
    50.000    0         -40.000	       1.4503992743	        0.0000000043	      148.9966920737	        0.0029343028 
    50.000    90        -40.000	       1.4503985560	        0.0000000074	      148.5013543885	        0.0051201206 
    50.000    180       -40.000	       1.4503990090	        0.0000000052	      148.8137814236	        0.0035839989 
    50.000    270       -40.000	       1.4503994572	        0.0000000177	      149.1228286345	        0.0121967518 
    50.000    0         -20.000	       1.4503992661	        0.0000000043	      148.9910120917	        0.0029874609 
    50.000    90        -20.000	       1.4503986067	        0.0000000056	      148.5363626846	        0.0038731555 
    50.000    180       -20.000	       1.4503989195	        0.0000000087	      148.7520223905	        0.0060014447 
    50.000    270       -20.000	       1.4503993914	        0.0000000181	      149.0774381393	        0.0124757797 
    50.000    0           0.000	       1.4503992365	        0.0000000039	      148.9706227942	        0.0027229628 
    50.000    90          0.000	       1.4503986316	        0.0000000057	      148.5534712841	        0.0039518524 
    50.000    180         0.000	       1.4503988203	        0.0000000067	      148.6836505302	        0.0046002556 
    50.000    270         0.000	       1.4503992788	        0.0000000122	      148.9997948766	        0.0084278069 
    50.000    0          20.000	       1.4503991838	        0.0000000038	      148.9343097147	        0.0025987106 
    50.000    90         20.000	       1.4503986183	        0.0000000100	      148.5443640221	        0.0069202808 
    50.000    180        20.000	       1.4503987059	        0.0000000049	      148.6047280500	        0.0033697912 
    50.000    270        20.000	       1.4503991630	        0.0000000121	      148.9199251392	        0.0083266708 
    50.000    0          40.000	       1.4503990858	        0.0000000079	      148.8667170446	        0.0054756053 
    50.000    90         40.000	       1.4503985641	        0.0000000025	      148.5069743018	        0.0017536922 
    50.000    180        40.000	       1.4503985619	        0.0000000052	      148.5054597793	        0.0035644352 
    50.000    270        40.000	       1.4503989981	        0.0000000036	      148.8062128514	        0.0024877996 
    50.000    0          60.000	       1.4503989514	        0.0000000059	      148.7740107447	        0.0040905868 
    50.000    90         60.000	       1.4503984544	        0.0000000115	      148.4313421895	        0.0079058837 
    50.000    180        60.000	       1.4503983640	        0.0000000085	      148.3689987862	        0.0058268577 
    50.000    270        60.000	       1.4503987728	        0.0000000340	      148.6508614232	        0.0234663624 
    50.000    0          80.000        1.4503987425	        0.0000000060	      148.6299686963	        0.0041192776 
    50.000    90         80.000        1.4503982412	        0.0000000136	      148.2842930357	        0.0094101323 
    50.000    180        80.000        1.4503981006	        0.0000000139	      148.1873557357	        0.0096020999 
    50.000    270        80.000        1.4503984686	        0.0000000137	      148.4410878327	        0.0094220131 
    50.000    0         100.000	       1.4503985157	        0.0000000082	      148.4735577193	        0.0056794930 
    50.000    90        100.000	       1.4503980104	        0.0000000040	      148.1251514813	        0.0027656344 
    50.000    180       100.000	       1.4503978075	        0.0000000040	      147.9852266242	        0.0027855850 
    50.000    270       100.000	       1.4503980922	        0.0000000149	      148.1815652717	        0.0102532485 

